Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Australia,Dollar,AUD,,1.8043
Canada,Dollar,CAD,,1.7316
Denmark,Krone,DKK,,8.6959
Eurozone,Euro,EUR,,1.1692
Hong Kong,Dollar,HKD,,10.6597
Japan,Yen,JPY,,151.2457
Liberia,Dollar (US),USD,,1.3712
Norway,Norwegian Krone,NOK,,11.7222
South Africa,Rand,ZAR,,20.4492
Sweden,Krona,SEK,,11.9964
Switzerland,Franc,CHF,,1.2932
USA,Dollar,USD,,1.3712
