Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Senegal,Franc,CFA,0.0011,901.980046
Serbia,Dinar,RSD,0.006,165.901382
Seychelles,Rupee,SCR,0.049,20.428638
Sierra Leone,Leone,SLE,0.0002,6589.731403
Singapore,Dollar,SGD,0.4783,2.090767
Soloman Islands,Dollar,SBD,0.0832,12.023992
Somali Republic,Schilling,SOS,0.001,1008.076813
South Africa,Rand,ZAR,0.0531,18.820213
South Korea,Won,KRW,0.0006,1699.569333
Sri Lanka,Rupee,LKR,0.0048,207.593
St Christopher & Anguilla,E Caribbean Dollar,XCD,0.2421,4.130178
St Lucia,E Caribbean Dollar,XCD,0.2421,4.130178
St Vincent,E Caribbean Dollar,XCD,0.2421,4.130178
Sudan Republic,Pound,SDG,0.1104,9.05594
Surinam,Dollar,SRD,0.1945,5.14008
Swaziland,Lilangeni,SZL,0.0515,19.406159
Sweden,Krona,SEK,0.0016,629.458159
Switzerland,Franc,CHF,0.6776,1.4758
Taiwan,Dollar,TWD,0.0209,47.733435
Tanzania,Schilling,TZS,0.0003,3102.657984
Thailand,Baht,THB,0.0194,51.477792
Togo Republic,Franc,CFA,0.0011,901.980046
Tonga Islands,Pa'anga (AUS),TOP,0.4649,2.150933
Trinidad/Tobago,Dollar,TTD,0.1029,9.722428
Tunisia,Dinar,TND,0.334,2.993625
Turkey,Turkish  Lira,TRY,0.2411,4.146825
Turkmenistan,New Manat,TMT,0.1904,5.252937
UAE,Dirham,AED,0.1779,5.622332
Uganda,Schilling,UGX,0.0002,4932.62775
Ukraine,Hryvnia,UAH,0.0302,33.122207
Uruguay,Peso,UYU,0.0241,41.565001
USA,Dollar,USD,0.6533,1.530538
Uzbekistan,Sum,UZS,0.0003,3916.370296
Vanuatu,Vatu,VUV,0.0061,163.768017
Venezuela,Bolivar Fuerte,VEF,0.102,9.803134
Vietnam,Dong,VND,0,33476.88722
Wallis & Futuna Islands,Franc,CFP,0.0061,164.117132
Western Samoa,Tala,WST,0.2568,3.894757
Yemen (Rep of),Rial,YER,0.003,328.824261
Zambia,Kwacha,ZMW,0.0766,13.051338
Zimbabwe,Dollar,ZWL,0.0018,553.889392
