Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.1651,6.056283
Albania,Lek,ALL,0.0058,173.436528
Armenia,Dram,AMD,0.0015,680.630415
Angola,Readj Kwanza,AOA,0.0062,161.931792
Argentina,Peso,ARS,0.075,13.341358
Australia,Dollar,AUD,0.5479,1.825207
Aruba,Florin,AWG,0.3388,2.951509
Azerbaijan,New Manat,AZN,0.7742,1.291618
Bosnia- Herzegovinia,Marka,BAM,0.4128,2.422771
Barbados,Dollar,BBD,0.3029,3.301111
Bangladesh,Taka,BDT,0.0078,127.864377
Bulgaria,Lev,BGN,0.4128,2.42269
Bahrain,Dinar,BHD,1.6086,0.621643
Burundi,Franc,BIF,0.0004,2560.384528
Bermuda,Dollar (US),BMD,0.6058,1.65073
Brunei,Dollar,BND,0.4792,2.086947
Bolivia,Boliviano,BOB,0.0878,11.393639
Brazil,Real,BRL,0.2587,3.86497
Bahamas,Dollar,BSD,0.6058,1.65073
Bhutan,Ngultrum,BTN,0.0099,100.645467
Botswana,Pula,BWP,0.0677,14.76213
Belarus,Rouble,BYR,0.0001,16815.24717
Belize,Dollar,BZD,0.3037,3.292843
Canada,Dollar,CAD,0.5495,1.819945
Congo (DemRep),Congo Fr,CDF,0.0007,1521.934716
Switzerland,Franc,CHF,0.6639,1.506213
Chile,Peso,CLP,0.0011,935.85715
China,Yuan,CNY,0.0985,10.153441
Colombia,Peso,COP,0.0003,3276.59283
Costa Rica,Colon,CRC,0.0011,885.970396
Cuba,Peso,CUP,0.6065,1.648888
Cape Verde Islands,Escudo,CVE,0.0074,134.578792
Czech Republic,Koruna,CZK,0.0293,34.108347
Djibouti,Franc,DJF,0.0034,290.802226
Denmark,Krone,DKK,0.1082,9.240611
Dominican Republic,Peso,DOP,0.014,71.510156
Algeria,Dinar,DZD,0.0075,132.463735
Ecuador,Dollar,ECS,0.6058,1.65073
Egypt,Pound,EGP,0.0857,11.668037
Eritrea,Nakfa,ERN,0.0407,24.580169
Ethiopia,Birr,ETB,0.0309,32.383033
European Community,Euro,EUR,0.8068,1.239501
Fiji Islands,Dollar,FJD,0.3218,3.107326
Georgia,Lari,GEL,0.3446,2.9018
Ghana,Cedi,GHS,0.2012,4.971169
Gambia,Dalasi,GMD,0.0153,65.453343
Guinea Republic,Franc,GNF,0.0001,11390.26564
Guatemala,Quetzal,GTQ,0.0783,12.772226
Guyana,Dollar,GYD,0.003,337.651132
Hong Kong,Dollar,HKD,0.0781,12.801635
Honduras,Lempira,HNL,0.0296,33.751245
Croatia,Kuna,HRK,0.1058,9.455503
Haiti,Gourde,HTG,0.0135,74.33492
Hungary,Forint,HUF,0.0026,381.704584
Indonesia,Rupiah,IDR,0.0001,19544.89811
Israel,Shekel,ILS,0.17,5.881066
India,Rupee,INR,0.0099,100.645467
Iraq,Dinar,IQD,0.0005,1915.916981
Iceland,Krona,ISK,0.0052,191.904113
Jamaica,Dollar,JMD,0.0055,182.43383
Jordan,Dinar,JOD,0.8567,1.167201
Japan,Yen,JPY,0.0058,173.790568
Kenya,Schilling,KES,0.0069,144.741188
Kyrgyz Republic,Som,KGS,0.0114,87.892811
Cambodia,Riel,KHR,0.0002,6622.176603
Comoros,Franc,KMF,0.0017,597.791415
South Korea,Won,KRW,0.0006,1733.923529
Kuwait,Dinar,KWD,2.1322,0.46899
Cayman Islands,Dollar,KYD,0.7396,1.352092
Kazakhstan,Tenge,KZT,0.0034,293.937603
Lao People's Dem Rep,Kip,LAK,0.0001,13228.63774
Lebanon,Pound,LBP,0.0004,2488.848679
Sri Lanka,Rupee,LKR,0.0046,215.284849
Lesotho,Loti,LSL,0.0561,17.821445
Lithuania,Litas,LTL,0.2338,4.277101
Libya,Dinar,LYD,0.4972,2.011416
Morocco,Dirham,MAD,0.0723,13.829083
Moldova,Leu,MDL,0.0434,23.018781
Madagascar,Malagasy Ariary,MGA,0.0002,4071.393207
Macedonia,Denar,MKD,0.0131,76.234615
Myanmar,Kyat,MMK,0.0006,1615.16849
Mongolia,Tugrik,MNT,0.0003,2976.821509
Macao,Pataca,MOP,0.0759,13.169922
Mauritania,Ouguiya,MRO,0.0021,483.262094
Mauritius,Rupee,MUR,0.0198,50.449962
Maldive Islands,Rufiyaa,MVR,0.0394,25.3498528
Malawi,Kwacha,MWK,0.0014,693.281811
Mexico,Mexican Peso,MXN,0.0457,21.887945
Malaysia,Ringgit,MYR,0.1855,5.389764
Mozambique,Metical,MZN,0.0194,51.521915
Nigeria,Naira,NGN,0.0037,271.102471
Nicaragua,Gold Cordoba,NIO,0.0234,42.728809
Norway,Norwegian Krone,NOK,0.0967,10.337056
Nepal,Rupee,NPR,0.0062,160.896358
New Zealand,Dollar,NZD,0.5037,1.985364
Oman,Rial,OMR,1.5753,0.634818
Panama,Balboa,PAB,0.6065,1.648888
Peru,New Sol,PEN,0.2142,4.669281
