Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.2180,4.587583
Albania,Lek,ALL,0.0071,140.518158
Algeria,Dinar,DZD,0.0056,177.218483
Angola,Readj Kwanza,AOA,0.0017,584.521292
Antigua,E Caribbean Dollar,XCD,0.2965,3.372242
Argentina,Peso,ARS,0.0064,155.678025
Armenia,Dram,AMD,0.0018,554.851658
Aruba,Florin,AWG,0.4473,2.235675
Australia,Dollar,AUD,0.5598,1.786317
Azerbaijan,New Manat,AZN,0.4711,2.122550
Bahamas,Dollar,BSD,0.8003,1.249458
Bahrain,Dinar,BHD,2.1237,0.470883
Bangladesh,Taka,BDT,0.0087,114.828175
Barbados,Dollar,BBD,0.4003,2.497967
Belarus,Rouble,BYN,0.2782,3.595008
Belize,Dollar,BZD,0.4003,2.497967
Benin,Franc,CFA,0.0013,772.533083
Bermuda,Dollar (US),BMD,0.8003,1.249458
Bhutan,Ngultrum,BTN,0.0103,97.560208
Bolivia,Boliviano,BOB,0.1159,8.630467
Bosnia- Herzegovinia,Marka,BAM,0.4341,2.303408
Botswana,Pula,BWP,0.0654,15.296442
Brazil,Real,BRL,0.1541,6.488892
Brunei,Dollar,BND,0.5809,1.721442
Bulgaria,Lev,BGN,0.4341,2.303508
Burkina Faso,Franc,CFA,0.0013,772.533083
Burundi,Franc,BIF,0.0004,2532.150683
Cambodia,Riel,KHR,0.0002,4887.786717
Cameroon,Franc,CFA,0.0013,772.533083
Canada,Dollar,CAD,0.6192,1.615100
Cape Verde Islands,Escudo,CVE,0.0077,129.823058
Cayman Islands,Dollar,KYD,0.9764,1.024167
Central African Republic,Franc,CFA,0.0013,772.533083
Chad,Franc,CFA,0.0013,772.533083
Chile,Peso,CLP,0.0009,1086.696008
China,Yuan,CNY,0.1199,8.342033
Colombia,Peso,COP,0.0002,5215.888425
Comoros,Franc,KMF,0.0017,579.399825
Congo (Brazaville),Franc,CFA,0.0013,772.533083
Congo (DemRep),Congo Fr,CDF,0.0004,2513.077133
Costa Rica,Colon,CRC,0.0012,808.035925
Cote d'Ivoire,Franc,CFA,0.0013,772.533083
Croatia,Kuna,HRK,0.1127,8.870908
Cuba,Peso,CUP,0.1245,8.029975
Czech Republic,Koruna,CZK,0.0345,28.948308
Denmark,Krone,DKK,0.1141,8.763033
Djibouti,Franc,DJF,0.0045,222.443008
Dominica,E Caribbean Dollar,XCD,0.2965,3.372242
Dominican Republic,Peso,DOP,0.0145,68.807925
Dubai,Dirham,AED,0.2180,4.587583
Ecuador,Dollar,ECS,0.8003,1.249458
Egypt,Pound,EGP,0.0433,23.079258
El Salvador,Colon,SVC,0.0915,10.928442
Equatorial Guinea,Franc,CFA,0.0013,772.533083
Eritrea,Nakfa,ERN,0.0534,18.734733
Ethiopia,Birr,ETB,0.0155,64.426317
Eurozone,Euro,EUR,0.8489,1.177958
Fiji Islands,Dollar,FJD,0.3666,2.727417
Fr. Polynesia,Franc,CFP,0.0071,140.539225
Gabon,Franc,CFA,0.0013,772.533083
Gambia,Dalasi,GMD,0.0145,68.751142
Georgia,Lari,GEL,0.2719,3.677642
Ghana,Cedi,GHS,0.0929,10.768683
Grenada,E Caribbean Dollar,XCD,0.2965,3.372242
Guatemala,Quetzal,GTQ,0.1035,9.658108
Guinea Bissau,Franc,CFA,0.0013,772.533083
Guinea Republic,Franc,GNF,0.0001,11062.409800
Guyana,Dollar,GYD,0.0038,261.310525
Haiti,Gourde,HTG,0.0072,139.630000
Honduras,Lempira,HNL,0.0326,30.702658
Hong Kong,Dollar,HKD,0.1022,9.783883
Hungary,Forint,HUF,0.0022,455.204617
Iceland,Krona,ISK,0.0060,166.914933
India,Rupee,INR,0.0103,97.560208
Indonesia,Rupiah,IDR,0.0001,18416.008242
Iraq,Dinar,IQD,0.0005,1823.344258
Israel,Shekel,ILS,0.2417,4.137783
Jamaica,Dollar,JMD,0.0052,191.686408
Japan,Yen,JPY,0.0062,162.148108
Jordan,Dinar,JOD,1.1288,0.885917
Kazakhstan,Tenge,KZT,0.0017,571.997592
Kenya,Schilling,KES,0.0068,146.142083
Kuwait,Dinar,KWD,2.6168,0.382142
Kyrgyz Republic,Som,KGS,0.0096,104.682758
Lao People's Dem Rep,Kip,LAK,0.0001,17129.935425
Lebanon,Pound,LBP,0.0005,1889.545975
Lesotho,Loti,LSL,0.0494,20.249583
Liberia,Dollar (US),USD,0.8003,1.249458
Libya,Dinar,LYD,0.1678,5.960717
Macao,Pataca,MOP,0.0993,10.073417
Macedonia,Denar,MKD,0.0138,72.511692
Madagascar,Malagasy Ariary,MGA,0.0002,5100.389675
Malawi,Kwacha,MWK,0.0009,1143.846642
Malaysia,Ringgit,MYR,0.1827,5.474008
Maldive Islands,Rufiyaa,MVR,0.0519,19.265767
Mali Republic,Franc,CFA,0.0013,772.533083
Mauritania,Ouguiya,MRU,0.0224,44.626108
Mauritius,Rupee,MUR,0.0182,54.860475
Mexico,Mexican Peso,MXN,0.0397,25.216475
Moldova,Leu,MDL,0.0427,23.428475
Mongolia,Tugrik,MNT,0.0003,3866.233808
Montserrat,E Caribbean Dollar,XCD,0.2965,3.372242
Morocco,Dirham,MAD,0.0799,12.516267
Mozambique,Metical,MZN,0.0126,79.501925
Myanmar,Kyat,MMK,0.0004,2376.123875
Nepal,Rupee,NPR,0.0064,156.039000
New Caledonia,Franc,CFP,0.0071,140.539225
New Zealand,Dollar,NZD,0.5126,1.950917
Nicaragua,Gold Cordoba,NIO,0.0224,44.677892
Niger Republic,Franc,CFA,0.0013,772.533083
Nigeria,Naira,NGN,0.0019,528.036800
Norway,Norwegian Krone,NOK,0.0843,11.857917
Oman,Rial,OMR,2.0777,0.481300
Pakistan,Rupee,PKR,0.0040,251.475625
Panama,Balboa,PAB,0.8007,1.248967
Papua New Guinea,Kina,PGK,0.2276,4.394100
Paraguay,Guarani,PYG,0.0001,8667.174108
Peru,New Sol,PEN,0.2079,4.808908
Philippines,Peso,PHP,0.0148,67.568508
Poland,Zloty,PLN,0.1816,5.506658
Qatar,Riyal,QAR,0.2199,4.548225
Romania,New Leu,RON,0.1720,5.813208
Russia,Rouble,RUB,0.0108,92.189042
Rwanda,Franc,RWF,0.0008,1287.687250
Saotome & Principe,Dobra,STD,0.0000,28910.383333
Saudi Arabia,Riyal,SAR,0.2132,4.691083
Senegal,Franc,CFA,0.0013,772.533083
Serbia,Dinar,RSD,0.0072,138.351933
Seychelles,Rupee,SCR,0.0556,17.970425
Sierra Leone,Leone,SLE,0.0001,15889.594467
Singapore,Dollar,SGD,0.5807,1.722058
Soloman Islands,Dollar,SBD,0.0984,10.160000
Somali Republic,Schilling,SOS,0.0014,723.207908
South Africa,Rand,ZAR,0.0494,20.254450
South Korea,Won,KRW,0.0006,1599.895175
Sri Lanka,Rupee,LKR,0.0026,386.788617
St Christopher & Anguilla,E Caribbean Dollar,XCD,0.2965,3.372242
St Lucia,E Caribbean Dollar,XCD,0.2965,3.372242
St Vincent,E Caribbean Dollar,XCD,0.2965,3.372242
Sudan Republic,Pound,SDG,0.0016,606.466408
Surinam,Dollar,SRD,0.0343,29.162683
Swaziland,Lilangeni,SZL,0.0494,20.249583
Sweden,Krona,SEK,0.0804,12.430433
Switzerland,Franc,CHF,0.8405,1.189767
Taiwan,Dollar,TWD,0.0271,36.907833
Tanzania,Schilling,TZS,0.0003,2901.870233
Thailand,Baht,THB,0.0229,43.640367
Togo Republic,Franc,CFA,0.0013,772.533083
Tonga Islands,Pa'anga (AUS),TOP,0.5598,1.786317
Trinidad/Tobago,Dollar,TTD,0.1185,8.435533
Tunisia,Dinar,TND,0.2606,3.837967
Turkey,Turkish  Lira,TRY,0.0494,20.249233
Turkmenistan,New Manat,TMT,0.2285,4.376475
UAE,Dirham,AED,0.2180,4.587583
Uganda,Schilling,UGX,0.0002,4585.370842
Ukraine,Hryvnia,UAH,0.0255,39.140292
Uruguay,Peso,UYU,0.0192,52.078017
USA,Dollar,USD,0.8003,1.249458
Uzbekistan,Sum,UZS,0.0001,13782.084425
Vanuatu,Vatu,VUV,0.0069,145.966742
Venezuela,Bolivar Fuerte,VEF,0.0000,310194.693333
Vietnam,Dong,VND,0.0000,29168.755583
Wallis & Futuna Islands,Franc,CFP,0.0071,140.539225
Western Samoa,Tala,WST,0.2989,3.345750
Yemen (Rep of),Rial,YER,0.0032,312.466317
Zambia,Kwacha,ZMW,0.0476,21.029708
Zimbabwe,Dollar,ZWL,0.0022,452.006683
