Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.1464,6.831167347
Afghanistan,Afghani,AFN,0.013,76.76764898
Albania,Lek,ALL,0.0058,171.5298163
Armenia,Dram,AMD,0.0016,635.2394898
Angola,Readj Kwanza,AOA,0.0066,150.8050612
Argentina,Peso,ARS,0.1392,7.181784615
Australia,Dollar,AUD,0.6534,1.530380769
Aruba,Florin,AWG,0.3531,2.83195102
Azerbaijan,New Manat,AZN,0.8054,1.241604082
Bosnia- Herzegovinia,Marka,BAM,0.4143,2.413702041
Barbados,Dollar,BBD,0.316,3.164138776
Bangladesh,Taka,BDT,0.0077,129.5617143
Bulgaria,Lev,BGN,0.4143,2.413708163
Bahrain,Dinar,BHD,1.6765,0.59647551
Burundi,Franc,BIF,0.0004,2278.453878
Bermuda,Dollar (US),BMD,0.6318,1.582875
Brunei,Dollar,BND,0.5055,1.97805102
Bolivia Bolivi,ano,BOB,0.0915,10.93169592
Brazil,Real,BRL,0.3235,3.091557692
Bahamas,Dollar,BSD,0.6318,1.582875
Bhutan,Ngultrum,BTN,0.0118,84.53280577
Botswana,Pula,BWP,0.0813,12.29665306
Belarus,Rouble,BYR,0.0001,13228.8898
Belize,Dollar,BZD,0.3278,3.050991837
Canada,Dollar,CAD,0.6315,1.583601923
Congo (DemRep),Congo Fr,CDF,0.0007,1454.907551
Switzerland,Franc,CHF,0.6725,1.486984615
Chile,Peso,CLP,0.0013,770.078449
China,Yuan,CNY,0.1001,9.988053061
Colombia,Peso,COP,0,2846.81
Costa Rica,Colon,CRC,0.0013,795.4850204
Cuba,Peso,CUP,0.6321,1.582097959
Cape Verde Islands,Escudo,CVE,0.0074,135.7637959
Czech Republic,Koruna,CZK,0.0322,31.05088367
Djibouti,Franc,DJF,0.0036,277.7468163
Denmark,Krone,DKK,0.1089,9.181059615
Dominican Republic,Peso,DOP,0.0161,61.94357347
Algeria,Dinar,DZD,0.0081,123.0933878
Ecuador,Dollar,ECS,0.6318,1.582875
Egypt,Pound,EGP,0.1042,9.598010204
Eritrea,Nakfa,ERN,0.0421,23.73013673
Ethiopia,Birr,ETB,0.0355,28.14417755
European Community,Euro,EUR,0.8107,1.233473
Fiji Islands,Dollar,FJD,0.3528,2.834738776
Georgia,Lari,GEL,0.0203,49.32093878
Ghana,Cedi,GHS,0.3407,2.9353
Gambia,Dalasi,GMD,0.0203,49.34630408
Guinea Republic,Franc,GNF,0.0001,11031.34222
Guatemala,Quetzal,GTQ,0.0806,12.40274694
Guyana,Dollar,GYD,0.0031,318.1599796
Hong Kong,Dollar,HKD,0.0814,12.27909808
Honduras,Lempira,HNL,0.0327,30.55116531
Croatia,Kuna,HRK,0.1078,9.27604898
