Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.2133,4.689050
Albania,Lek,ALL,0.0072,139.310833
Algeria,Dinar,DZD,0.0062,160.590833
Angola,Readj Kwanza,AOA,0.0014,719.303333
Antigua,E Caribbean Dollar,XCD,0.2901,3.447167
Argentina,Peso,ARS,0.0113,88.141750
Armenia,Dram,AMD,0.0016,619.242500
Aruba,Florin,AWG,0.4376,2.285333
Australia,Dollar,AUD,0.5339,1.873142
Azerbaijan,New Manat,AZN,0.4614,2.167325
Bahamas,Dollar,BSD,0.7832,1.276733
Bahrain,Dinar,BHD,2.0802,0.480725
Bangladesh,Taka,BDT,0.0092,108.395833
Barbados,Dollar,BBD,0.3916,2.553458
Belarus,Rouble,BYN,0.3273,3.055558
Belize,Dollar,BZD,0.3916,2.553458
Benin,Franc,CFA,0.0014,740.530833
Bermuda,Dollar (US),BMD,0.7832,1.276733
Bhutan,Ngultrum,BTN,0.0106,94.385833
Bolivia,Boliviano,BOB,0.1134,8.822192
Bosnia- Herzegovinia,Marka,BAM,0.4544,2.200517
Botswana,Pula,BWP,0.0685,14.591667
Brazil,Real,BRL,0.1540,6.491583
Brunei,Dollar,BND,0.5669,1.764075
Bulgaria,Lev,BGN,0.4529,2.208083
Burkina Faso,Franc,CFA,0.0014,740.530833
Burundi,Franc,BIF,0.0004,2440.217500
Cambodia,Riel,KHR,0.0002,5207.861667
Cameroon,Franc,CFA,0.0014,740.530833
Canada,Dollar,CAD,0.5819,1.718633
Cape Verde Islands,Escudo,CVE,0.0071,140.077500
Cayman Islands,Dollar,KYD,0.9552,1.046908
Central African Republic,Franc,CFA,0.0014,740.530833
Chad,Franc,CFA,0.0014,740.530833
Chile,Peso,CLP,0.0010,1011.877500
China,Yuan,CNY,0.1132,8.836050
Colombia,Peso,COP,0.0002,4728.159167
Comoros,Franc,KMF,0.0018,555.396667
Congo (Brazaville),Franc,CFA,0.0014,740.530833
Congo (DemRep),Congo Fr,CDF,0.0004,2337.635000
Costa Rica,Colon,CRC,0.0013,741.578333
Cote d'Ivoire,Franc,CFA,0.0014,740.530833
Croatia,Kuna,HRK,0.1177,8.498333
Cuba,Peso,CUP,0.7832,1.276733
Czech Republic,Koruna,CZK,0.0335,29.850000
Denmark,Krone,DKK,0.1188,8.418783
Djibouti,Franc,DJF,0.0044,226.896667
Dominica,E Caribbean Dollar,XCD,0.2901,3.447167
Dominican Republic,Peso,DOP,0.0139,71.733333
Dubai,Dirham,AED,0.2133,4.689050
Ecuador,Dollar,ECS,0.7832,1.276733
Egypt,Pound,EGP,0.0495,20.204167
El Salvador,Colon,SVC,0.0895,11.170000
Equatorial Guinea,Franc,CFA,0.0014,740.530833
Eritrea,Nakfa,ERN,0.0522,19.146667
Ethiopia,Birr,ETB,0.0227,44.015833
Eurozone,Euro,EUR,0.8858,1.128925
Fiji Islands,Dollar,FJD,0.3596,2.780583
Fr. Polynesia,Franc,CFP,0.0074,134.714167
Gabon,Franc,CFA,0.0014,740.530833
Gambia,Dalasi,GMD,0.0152,66.004817
Georgia,Lari,GEL,0.2541,3.935558
Ghana,Cedi,GHS,0.1368,7.308000
Grenada,E Caribbean Dollar,XCD,0.2901,3.447167
Guatemala,Quetzal,GTQ,0.1016,9.838883
Guinea Bissau,Franc,CFA,0.0014,740.530833
Guinea Republic,Franc,GNF,0.0001,12279.964167
Guyana,Dollar,GYD,0.0037,266.823333
Haiti,Gourde,HTG,0.0083,120.159167
Honduras,Lempira,HNL,0.0318,31.422500
Hong Kong,Dollar,HKD,0.1010,9.904692
Hungary,Forint,HUF,0.0025,394.454167
Iceland,Krona,ISK,0.0058,172.778333
India,Rupee,INR,0.0106,94.385833
Indonesia,Rupiah,IDR,0.0001,18468.680833
Iraq,Dinar,IQD,0.0007,1520.055000
Israel,Shekel,ILS,0.2259,4.426167
Jamaica,Dollar,JMD,0.0055,181.420000
Japan,Yen,JPY,0.0073,136.966667
Jordan,Dinar,JOD,1.1047,0.905200
Kazakhstan,Tenge,KZT,0.0019,526.415000
Kenya,Schilling,KES,0.0074,135.229167
Kuwait,Dinar,KWD,2.5534,0.391633
Kyrgyz Republic,Som,KGS,0.0103,97.189167
Lao People's Dem Rep,Kip,LAK,0.0001,11536.412500
Lebanon,Pound,LBP,0.0005,1930.905000
Lesotho,Loti,LSL,0.0478,20.923333
Liberia,Dollar (US),USD,0.7832,1.276733
Libya,Dinar,LYD,0.5633,1.775383
Macao,Pataca,MOP,0.0980,10.201058
Macedonia,Denar,MKD,0.0144,69.519167
Madagascar,Malagasy Ariary,MGA,0.0002,4863.433333
Malawi,Kwacha,MWK,0.0011,947.640000
Malaysia,Ringgit,MYR,0.1861,5.374058
Maldive Islands,Rufiyaa,MVR,0.0508,19.687500
Mali Republic,Franc,CFA,0.0014,740.530833
Mauritania,Ouguiya,MRU,0.0212,47.225000
Mauritius,Rupee,MUR,0.0200,49.938333
Mexico,Mexican Peso,MXN,0.0365,27.360000
Moldova,Leu,MDL,0.0452,22.127500
Mongolia,Tugrik,MNT,0.0003,3580.108333
Montserrat,E Caribbean Dollar,XCD,0.2901,3.447167
Morocco,Dirham,MAD,0.0823,12.150833
Mozambique,Metical,MZN,0.0114,87.615000
Myanmar,Kyat,MMK,0.0006,1782.799167
Nepal,Rupee,NPR,0.0066,151.020833
New Caledonia,Franc,CFP,0.0074,134.714167
New Zealand,Dollar,NZD,0.5044,1.982358
Nicaragua,Gold Cordoba,NIO,0.0229,43.752500
Niger Republic,Franc,CFA,0.0014,740.530833
Nigeria,Naira,NGN,0.0021,483.495000
Norway,Norwegian Krone,NOK,0.0825,12.116667
Oman,Rial,OMR,2.0342,0.491600
Pakistan,Rupee,PKR,0.0049,205.564167
Panama,Balboa,PAB,0.7832,1.276733
Papua New Guinea,Kina,PGK,0.2267,4.410667
Paraguay,Guarani,PYG,0.0001,8614.231667
Peru,New Sol,PEN,0.2257,4.430742
Philippines,Peso,PHP,0.0157,63.585833
Poland,Zloty,PLN,0.1998,5.003908
Qatar,Riyal,QAR,0.2151,4.648642
Romania,New Leu,RON,0.1833,5.455892
Russia,Rouble,RUB,0.0110,91.295000
Rwanda,Franc,RWF,0.0008,1213.141667
Saotome & Principe,Dobra,STD,0.0000,27989.925000
Saudi Arabia,Riyal,SAR,0.2088,4.789858
Senegal,Franc,CFA,0.0014,740.530833
Serbia,Dinar,RSD,0.0075,132.730000
Seychelles,Rupee,SCR,0.0461,21.707500
Sierra Leone,Leone,SLE,0.0001,12664.014167
Singapore,Dollar,SGD,0.5669,1.764075
Soloman Islands,Dollar,SBD,0.0953,10.488000
Somali Republic,Schilling,SOS,0.0013,743.965833
South Africa,Rand,ZAR,0.0478,20.925417
South Korea,Won,KRW,0.0007,1511.498333
Sri Lanka,Rupee,LKR,0.0042,236.467500
St Christopher & Anguilla,E Caribbean Dollar,XCD,0.2901,3.447167
St Lucia,E Caribbean Dollar,XCD,0.2901,3.447167
St Vincent,E Caribbean Dollar,XCD,0.2901,3.447167
Sudan Republic,Pound,SDG,0.0147,68.125000
Surinam,Dollar,SRD,0.0854,11.709608
Swaziland,Lilangeni,SZL,0.0478,20.923333
Sweden,Krona,SEK,0.0842,11.870833
Switzerland,Franc,CHF,0.8270,1.209258
Taiwan,Dollar,TWD,0.0265,37.768333
Tanzania,Schilling,TZS,0.0003,2953.545000
Thailand,Baht,THB,0.0250,39.922500
Togo Republic,Franc,CFA,0.0014,740.530833
Tonga Islands,Pa'anga (AUS),TOP,0.5339,1.873142
Trinidad/Tobago,Dollar,TTD,0.1160,8.620492
Tunisia,Dinar,TND,0.2778,3.599142
Turkey,Turkish  Lira,TRY,0.1141,8.765433
Turkmenistan,New Manat,TMT,0.2234,4.476125
UAE,Dirham,AED,0.2133,4.689050
Uganda,Schilling,UGX,0.0002,4744.462500
Ukraine,Hryvnia,UAH,0.0294,34.065000
Uruguay,Peso,UYU,0.0188,53.310000
USA,Dollar,USD,0.7832,1.276733
Uzbekistan,Sum,UZS,0.0001,12779.250833
Vanuatu,Vatu,VUV,0.0067,149.078333
Venezuela,Bolivar Fuerte,VEF,0.0000,312878.370833
Vietnam,Dong,VND,0.0000,29649.391667
Wallis & Futuna Islands,Franc,CFP,0.0074,134.714167
Western Samoa,Tala,WST,0.2943,3.397967
Yemen (Rep of),Rial,YER,0.0031,319.280833
Zambia,Kwacha,ZMW,0.0440,22.721667
Zimbabwe,Dollar,ZWL,0.0022,462.043333
