Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.2134,4.686892
Albania,Lek,ALL,0.0072,139.573333
Armenia,Dram,AMD,0.0016,613.691667
Angola,Readj Kwanza,AOA,0.0022,447.933333
Argentina,Peso,ARS,0.0170,58.739542
Australia,Dollar,AUD,0.5489,1.821708
Aruba,Florin,AWG,0.4378,2.284033
Azerbaijan,New Manat,AZN,0.4620,2.164708
Bosnia- Herzegovinia,Marka,BAM,0.4508,2.218333
Barbados,Dollar,BBD,0.3919,2.551983
Bangladesh,Taka,BDT,0.0093,107.621667
Bulgaria,Lev,BGN,0.4508,2.218375
Bahrain,Dinar,BHD,2.0789,0.481017
Burundi,Franc,BIF,0.0004,2346.036667
Bermuda,Dollar (US),BMD,0.7837,1.275983
Brunei,Dollar,BND,0.5744,1.741092
Bolivia,Boliviano,BOB,0.1134,8.817100
Brazil,Real,BRL,0.2001,4.997225
Bahamas,Dollar,BSD,0.7837,1.275983
Bhutan,Ngultrum,BTN,0.0111,89.925833
Botswana,Pula,BWP,0.0731,13.675000
Belarus,Rouble,BYN,0.3754,2.664100
Belize,Dollar,BZD,0.3919,2.551450
Canada,Dollar,CAD,0.5901,1.694733
Congo (DemRep),Congo Fr,CDF,0.0001,7931.699167
Switzerland,Franc,CHF,0.7882,1.268692
Chile,Peso,CLP,0.0011,887.849167
China,Yuan,CNY,0.1137,8.794575
Colombia,Peso,COP,0.0002,4146.051667
Costa Rica,Colon,CRC,0.0013,750.643333
Cuba,Peso,CUP,0.7837,1.275983
Cape Verde Islands,Escudo,CVE,0.0080,125.342500
Czech Republic,Koruna,CZK,0.0343,29.131667
Djibouti,Franc,DJF,0.0044,226.764167
Denmark,Krone,DKK,0.1181,8.468158
Dominican Republic,Peso,DOP,0.0153,65.210000
Algeria,Dinar,DZD,0.0066,152.099167
Ecuador,Dollar,ECS,0.7837,1.275983
Egypt,Pound,EGP,0.0460,21.734167
Eritrea,Nakfa,ERN,0.0523,19.135000
Ethiopia,Birr,ETB,0.0272,36.790833
Eurozone,Euro,EUR,0.8817,1.134225
Fiji Islands,Dollar,FJD,0.3648,2.741392
Georgia,Lari,GEL,0.2809,3.560042
Ghana,Cedi,GHS,0.1487,6.725642
Gambia,Dalasi,GMD,0.0156,63.955833
Guinea Republic,Franc,GNF,0.0001,11730.221667
Guatemala,Quetzal,GTQ,0.1010,9.897775
Guyana,Dollar,GYD,0.0038,266.640000
Hong Kong,Dollar,HKD,0.1000,9.995125
Honduras,Lempira,HNL,0.0320,31.225000
Croatia,Kuna,HRK,0.1189,8.412700
Haiti,Gourde,HTG,0.0091,110.145000
Hungary,Forint,HUF,0.0027,367.214167
Indonesia,Rupiah,IDR,0.0001,18081.008333
Israel,Shekel,ILS,0.2178,4.590842
India,Rupee,INR,0.0111,89.925833
Iraq,Dinar,IQD,0.0007,1519.003333
Iceland,Krona,ISK,0.0064,156.032500
Jamaica,Dollar,JMD,0.0059,168.676667
Jordan,Dinar,JOD,1.1052,0.904850
Japan,Yen,JPY,0.0071,140.052500
Kenya,Schilling,KES,0.0077,130.166667
Kyrgyz Republic,Som,KGS,0.0112,89.015000
Cambodia,Riel,KHR,0.0002,5161.497500
Comoros,Franc,KMF,0.0018,557.992500
South Korea,Won,KRW,0.0007,1472.813333
Kuwait,Dinar,KWD,2.5786,0.387808
Cayman Islands,Dollar,KYD,0.9557,1.046317
Kazakhstan,Tenge,KZT,0.0021,486.048333
Lao People's Dem Rep,Kip,LAK,0.0001,11057.975000
Lebanon,Pound,LBP,0.0005,1924.861667
Sri Lanka,Rupee,LKR,0.0044,228.442500
Lesotho,Loti,LSL,0.0546,18.305000
Libya,Dinar,LYD,0.5604,1.784458
Morocco,Dirham,MAD,0.0818,12.225833
Moldova,Leu,MDL,0.0449,22.281667
Madagascar,Malagasy Ariary,MGA,0.0002,4618.100000
Macedonia,Denar,MKD,0.0143,69.791667
Myanmar,Kyat,MMK,0.0005,1959.816667
Mongolia,Tugrik,MNT,0.0003,3389.214167
Macao,Pataca,MOP,0.0972,10.293358
Mauritania,Ouguiya,MRU,0.0022,455.907500
Mauritius,Rupee,MUR,0.0222,45.067500
Maldive Islands,Rufiyaa,MVR,0.0507,19.715833
Malawi,Kwacha,MWK,0.0011,942.931667
Mexico,Mexican Peso,MXN,0.0406,24.652500
Malaysia,Ringgit,MYR,0.1890,5.291067
Mozambique,Metical,MZN,0.0126,79.435000
Nigeria,Naira,NGN,0.0022,461.618333
Nicaragua,Gold Cordoba,NIO,0.0238,42.040833
Norway,Norwegian Krone,NOK,0.0896,11.161667
Nepal,Rupee,NPR,0.0069,143.885000
New Zealand,Dollar,NZD,0.5205,1.921167
Oman,Rial,OMR,2.0355,0.491283
Panama,Balboa,PAB,0.7837,1.275983
Peru,New Sol,PEN,0.2351,4.253775
Papua New Guinea,Kina,PGK,0.2316,4.317808
Philippines,Peso,PHP,0.0151,66.444167
Pakistan,Rupee,PKR,0.0053,188.920000
Poland,Zloty,PLN,0.2053,4.871825
Paraguay,Guarani,PYG,0.0001,7872.609167
Qatar,Riyal,QAR,0.2152,4.645950
Romania,New Leu,RON,0.1862,5.370883
Serbia,Dinar,RSD,0.0075,133.750000
Russia,Rouble,RUB,0.0121,82.883333
Rwanda,Franc,RWF,0.0009,1159.481667
Saudi Arabia,Riyal,SAR,0.2089,4.785925
Soloman Islands,Dollar,SBD,0.0978,10.222483
Seychelles,Rupee,SCR,0.0563,17.756667
Sudan Republic,Pound,SDG,0.0169,59.182500
Sweden,Krona,SEK,0.0837,11.943333
Singapore,Dollar,SGD,0.5749,1.739425
Sierra Leone,Leone,SLL,0.0001,11477.059167
