Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.1741,5.743216981
Afghanistan,Afghani,AFN,0.0118,84.46520377
Albania,Lek,ALL,0.006,165.3282642
Armenia,Dram,AMD,0.0016,638.9915472
Angola,Readj Kwanza,AOA,0.0068,147.9979019
Argentina,Peso,ARS,0.1176,8.503637736
Australia,Dollar,AUD,0.6121,1.63367963
Aruba,Florin,AWG,0.3573,2.799132075
Azerbaijan,New Manat,AZN,0.816,1.225513208
Bosnia- Herzegovinia,Marka,BAM,0.4339,2.304841509
Barbados,Dollar,BBD,0.3197,3.127469811
Bangladesh,Taka,BDT,0.0082,122.2576604
Bulgaria,Lev,BGN,0.4339,2.304803774
Bahrain,Dinar,BHD,1.6963,0.589507547
Burundi,Franc,BIF,0.0004,2445.396038
Bermuda,Dollar (US),BMD,0.64,1.562598246
Brunei,Dollar,BND,0.5119,1.953496226
Bolivia,Boliviano,BOB,0.0926,10.80469245
Brazil,Real,BRL,0.2975,3.361409434
Bahamas,Dollar,BSD,0.64,1.562598246
Bhutan,Ngultrum,BTN,0.011,91.2179537
Botswana,Pula,BWP,0.0766,13.06101509
Belarus,Rouble,BYR,0.0001,13870.63774
Belize,Dollar,BZD,0.3192,3.132690566
Canada,Dollar,CAD,0.622,1.607662264
Congo (DemRep),Congo Fr,CDF,0.0007,1401.709925
Switzerland,Franc,CHF,0.6898,1.449658491
Chile,Peso,CLP,0.0013,771.1720755
China,Yuan,CNY,0.1039,9.623090566
Colombia,Peso,COP,0.0003,2912.133019
Costa Rica,Colon,CRC,0.0013,781.6617547
Cuba,Peso,CUP,0.6395,1.563767925
Cape Verde Islands,Escudo,CVE,0.0078,128.7386226
Czech Republic,Koruna,CZK,0.0328,30.50784151
Djibouti,Franc,DJF,0.0037,273.3750755
Denmark,Krone,DKK,0.1138,8.788083396
Dominican Republic,Peso,DOP,0.0154,64.98609623
Algeria,Dinar,DZD,0.008,124.4891887
Ecuador,Dollar,ECS,0.64,1.562598246
Egypt,Pound,EGP,0.0935,10.6994566
Eritrea,Nakfa,ERN,0.0451,22.18098491
Ethiopia,Birr,ETB,0.0342,29.21640189
European Community,Euro,EUR,0.8486,1.178398113
Fiji Islands,Dollar,FJD,0.3115,3.210179245
Georgia,Lari,GEL,0.0295,33.84268113
Ghana,Cedi,GHS,0.3117,3.208164151
Gambia,Dalasi,GMD,0.0187,53.47605283
Guinea Republic,Franc,GNF,0.0001,10966.44151
Guatemala,Quetzal,GTQ,0.0813,12.29832453
Guyana,Dollar,GYD,0.0032,315.1987925
Hong Kong,Dollar,HKD,0.0825,12.12537358
Honduras,Lempira,HNL,0.0318,31.41324906
Croatia,Kuna,HRK,0.1121,8.921675472
Haiti,Gourde,HTG,0.015,66.81734717
Hungary,Forint,HUF,0.0029,349.4506226
Indonesia,Rupiah,IDR,0.0001,16184.62453
Israel,Shekel,ILS,0.1769,5.653766038
India,Rupee,INR,0.011,91.2179537
Iraq,Dinar,IQD,0.0006,1815.725283
Iran,Rial,IRR,0.0001,19284.29245
Iceland,Krona,ISK,0.0052,191.5352075
Jamaica,Dollar,JMD,0.0064,155.1528491
Jordan,Dinar,JOD,0.9031,1.107303774
Japan,Yen,JPY,0.0066,151.6463019
Kenya,Schilling,KES,0.0074,134.6734151
Kyrgyz Republic,Som,KGS,0.0176,56.70059057
Cambodia,Riel,KHR,0.0002,6271.774151
Comoros,Franc,KMF,0.0017,579.9203774
Korea (North),Won,KPW,0.492,2.032716981
South Korea,Won,KRW,0.0006,1710.245094
Kuwait,Dinar,KWD,2.2539,0.443681
Cayman Islands,Dollar,KYD,0.7799,1.282288679
Kazakhstan,Tenge,KZT,0.0042,237.7962264
Lao People's Dem Rep,Kip,LAK,0.0001,12237.39245
Lebanon,Pound,LBP,0.0004,2357.406604
Sri Lanka,Rupee,LKR,0.005,201.6523962
Lesotho,Loti,LSL,0.0669,14.95336981
Lithuania,Litas,LTL,0.2458,4.068907547
Libya,Dinar,LYD,0.508,1.968643396
Morocco,Dirham,MAD,0.076,13.15180943
Moldova,Leu,MDL,0.051,19.61019623
Madagascar,Malagasy Ariary,MGA,0.0003,3467.388868
Macedonia,Denar,MKD,0.0137,72.91581698
Myanmar,Kyat,MMK,0.0007,1446.22283
Mongolia,Tugrik,MNT,0.0004,2366.378679
Macao,Pataca,MOP,0.08,12.4930566
Mauritania,Ouguiya,MRO,0.0022,464.9348113
Mauritius,Rupee,MUR,0.0208,48.08377358
Maldive Islands,Rufiyaa,MVR,0.0416,24.03187925
Malawi,Kwacha,MWK,0.0018,567.3092642
Mexico,Mexican Peso,MXN,0.0501,19.94643019
Malaysia,Ringgit,MYR,0.2035,4.913211321
Mozambique,Metical,MZN,0.0213,46.94252453
Nigeria,Naira,NGN,0.004,248.7960377
Nicaragua,Gold Cordoba,NIO,0.0259,38.58419057
Norway,Norwegian Krone,NOK,0.1091,9.165418868
Nepal,Rupee,NPR,0.0069,145.6341132
New Zealand,Dollar,NZD,0.5247,1.905811321
