Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.1754,5.702134615
Afghanistan,Afghani,AFN,0.0146,68.54316923
Albania,Lek,ALL,0.0062,162.2212308
Algeria,Dinar,DZD,0.0087,114.7602885
Angola,Readj Kwanza,AOA,0.007,143.6859423
Antigua,E Caribbean Dollar,XCD,0.2386,4.191667308
Argentina,Peso,ARS,0.1627,6.147755769
Armenia,Dram,AMD,0.0018,569.70425
Aruba,Florin,AWG,0.3598,2.778955769
Australia,Dollar,AUD,0.6051,1.652613208
Austria,Euro,EUR,0.849,1.177921154
Azerbaijan,New Manat,AZN,0.8039,1.243884615
Bahamas,Dollar,BSD,0.6437,1.55345
Bahrain,Dinar,BHD,1.7085,0.585313462
Bangladesh,Taka,BDT,0.0092,108.7321346
Barbados,Dollar,BBD,0.3221,3.104928846
Belarus,Rouble,BYR,0.0002,4667.516154
Belgium,Euro,EUR,0.849,1.177921154
Belize,Dollar,BZD,0.3303,3.027325
Benin,Franc,CFA,0.0013,771.0288462
Bermuda,Dollar (US),BMD,0.6437,1.55345
Bhutan,Ngultrum,BTN,0.0141,70.8063434
Bolivia,Boliviano,BOB,0.0919,10.88054038
Bosnia- Herzegovinia,Marka,BAM,0.435,2.298955769
Botswana,Pula,BWP,0.0952,10.50247308
Brazil,Real,BRL,0.3724,2.685019231
Brunei,Dollar,BND,0.4829,2.070657692
Bulgaria,Lev,BGN,0.435,2.298988462
Burkina Faso,Franc,CFA,0.0013,771.0288462
Burundi,Franc,BIF,0.0005,1912.315577
Cambodia,Riel,KHR,0.0002,6411.573846
Cameroon Republic,Franc,CFA,0.0013,771.0288462
Canada,Dollar,CAD,0.6326,1.580842308
Cape Verde Islands,Escudo,CVE,0.0078,127.4761154
Cayman Islands,Dollar,KYD,0.7855,1.273048077
Central African,Franc,CFA,0.0013,771.0288462
Chad,Franc,CFA,0.0013,771.0288462
Chile,Peso,CLP,0.0013,778.013
China,Yuan (Renminbi),CNY,0.096,10.41953269
Colombia,Peso,COP,0.0003,2919.660192
Comoros,Franc,KMF,0.0017,578.2716538
Congo (Brazaville),Franc,CFA,0.0013,771.0288462
Congo (DemRep),Congo Fr,CDF,0.0007,1408.805769
Costa Rica,Colon,CRC,0.0013,797.682
Cote d'Ivoire,Franc,CFA,0.0013,771.0288462
Croatia,Kuna,HRK,0.1164,8.594173077
Cuba,Peso,CUP,0.6441,1.552490385
Cyprus,Euro,EUR,0.849,1.177921154
Czech Republic,Koruna,CZK,0.0341,29.32662885
Denmark,Krone,DKK,0.114,8.774417647
Djibouti,Franc,DJF,0.0037,272.5931731
Dominica,E Caribbean Dollar,XCD,0.2386,4.191667308
Dominican Republic,Peso,DOP,0.0174,57.39889038
Dubai,Dirham,AED,0.1754,5.702134615
Ecuador,Dollar,ECS,0.6437,1.55345
Egypt,Pound,EGP,0.1125,8.88735
El Salvador,Colon,SVC,0.0736,13.58020577
Equatorial Guinea,Franc,CFA,0.0013,771.0288462
Eritrea,Nakfa,ERN,0.0429,23.28699231
Estonia,Euro,EUR,0.069,14.49848113
Ethiopia,Birr,ETB,0.0421,23.74482885
European Community,Euro,EUR,0.849,1.177921154
Fiji Islands,Dollar,FJD,0.3399,2.942228846
Finland,Euro,EUR,0.849,1.177921154
Fr. Polynesia,Franc,CFP,0.0071,140.1786923
France,Euro,EUR,0.849,1.177921154
Gabon,Franc,CFA,0.0013,771.0288462
Gambia,Dalasi,GMD,0.0229,43.67349808
Georgia,Lari,GEL,0.0213,46.97927115
Germany,Euro,EUR,0.849,1.177921154
Ghana,Cedi,GHS,0.4432,2.256069231
Greece,Euro,EUR,0.849,1.177921154
Grenada,E Caribbean Dollar,XCD,0.2386,4.191667308
Guatemala,Quetzal,GTQ,0.0807,12.38754615
Guinea Bissau,Franc,CFA,0.0013,771.0288462
Guinea Republic,Franc,GNF,0.0001,9528.778654
Guyana,Dollar,GYD,0.0032,315.1657115
Haiti,Gourde,HTG,0.0162,61.87472115
Honduras,Lempira,HNL,0.0341,29.33385
Hong Kong,Dollar,HKD,0.0827,12.08529231
Hungary,Forint,HUF,0.0031,324.9471346
Iceland,Krona,ISK,0.0054,185.726
India,Rupee,INR,0.0141,70.8063434
Indonesia,Rupiah,IDR,0.0001,13976.89808
Iran,Rial,IRR,0.0001,15803.40192
Iraq,Dinar,IQD,0.0006,1812.314423
Ireland,Euro,EUR,0.849,1.177921154
Israel,Shekel,ILS,0.1739,5.749555769
Italy,Euro,EUR,0.849,1.177921154
Jamaica,Dollar,JMD,0.0075,133.4696923
Japan,Yen,JPY,0.0075,133.4047885
Jordan,Dinar,JOD,0.9097,1.099292308
Kazakhstan,Tenge,KZT,0.0044,228.32175
Kenya,Schilling,KES,0.008,124.9868462
Korea (North),Won,KPW,0.1673,5.975976923
Kuwait,Dinar,KWD,2.2601,0.44245
Kyrgyz Republic,Som,KGS,0.0213,46.97927115
Lao People's Dem Rep,Kip,LAK,0.0001,12629.80769
Latvia,Lat,EUR,1.2021,0.831861538
Lebanon,Pound,LBP,0.0004,2330.140192
Lesotho,Loti,LSL,0.0894,11.17992308
Liberia,Dollar (US),USD,0.6437,1.55345
Libya,Dinar,LYD,0.5114,1.9555
Lithuania,Litas,LTL,0.2464,4.058605769
Luxembourg,Euro,EUR,0.849,1.177921154
Macao,Pataca,MOP,0.0804,12.43029231
Macedonia,Denar,MKD,0.0138,72.35450769
Madagascar,Malagasy Ariary,MGA,0.0003,3235.711346
