Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.2063,4.848117
Albania,Lek,ALL,0.007,142.6475
Armenia,Dram,AMD,0.0016,637.659167
Angola,Readj Kwanza,AOA,0.0028,358.4575
Argentina,Peso,ARS,0.0241,41.434542
Australia,Dollar,AUD,0.5571,1.795092
Aruba,Florin,AWG,0.4233,2.362617
Azerbaijan,New Manat,AZN,0.446,2.24215
Bosnia- Herzegovinia,Marka,BAM,0.4513,2.215933
Barbados,Dollar,BBD,0.3788,2.639783
Bangladesh,Taka,BDT,0.009,110.600833
Bulgaria,Lev,BGN,0.4513,2.215967
Bahrain,Dinar,BHD,2.0088,0.4978
Burundi,Franc,BIF,0.0004,2367.751667
Bermuda,Dollar (US),BMD,0.7576,1.319892
Brunei,Dollar,BND,0.5587,1.789833
Bolivia,Boliviano,BOB,0.1096,9.120467
Brazil,Real,BRL,0.2022,4.944692
Bahamas,Dollar,BSD,0.7576,1.319892
Bhutan,Ngultrum,BTN,0.0109,91.846667
Botswana,Pula,BWP,0.0733,13.646925
Belarus,Rouble,BYN,0.3675,2.721175
Belize,Dollar,BZD,0.3791,2.638142
Canada,Dollar,CAD,0.5787,1.728133
Congo (DemRep),Congo Fr,CDF,0.0005,2138.955833
Switzerland,Franc,CHF,0.768,1.302
Chile,Peso,CLP,0.0012,863.108333
China,Yuan,CNY,0.1135,8.808783
Colombia,Peso,COP,0.0003,3958.056667
Costa Rica,Colon,CRC,0.0013,766.96
Cuba,Peso,CUP,0.7576,1.319892
Cape Verde Islands,Escudo,CVE,0.008,125.289167
Czech Republic,Koruna,CZK,0.0344,29.111667
Djibouti,Franc,DJF,0.0043,234.565833
Denmark,Krone,DKK,0.1184,8.449217
Dominican Republic,Peso,DOP,0.0152,65.701667
Algeria,Dinar,DZD,0.0065,155.033333
Ecuador,Dollar,ECS,0.7576,1.319892
Egypt,Pound,EGP,0.0425,23.5325
Eritrea,Nakfa,ERN,0.0505,19.793333
Ethiopia,Birr,ETB,0.0273,36.584167
Eurozone,Euro,EUR,0.8826,1.132983
Fiji Islands,Dollar,FJD,0.3616,2.765633
Georgia,Lari,GEL,0.2958,3.380358
Ghana,Cedi,GHS,0.1581,6.324283
Gambia,Dalasi,GMD,0.0155,64.351667
Guinea Republic,Franc,GNF,0.0001,11955.29083
Guatemala,Quetzal,GTQ,0.0993,10.07415
Guyana,Dollar,GYD,0.0036,275.079167
Hong Kong,Dollar,HKD,0.0966,10.349583
Honduras,Lempira,HNL,0.0315,31.7275
Croatia,Kuna,HRK,0.119,8.403867
Haiti,Gourde,HTG,0.0107,93.466067
Hungary,Forint,HUF,0.0028,362.254167
Indonesia,Rupiah,IDR,0.0001,18905.83083
Israel,Shekel,ILS,0.2091,4.783058
India,Rupee,INR,0.0109,91.846667
Iraq,Dinar,IQD,0.0007,1501.203333
Iceland,Krona,ISK,0.0068,147.640833
Jamaica,Dollar,JMD,0.0058,171.441667
Jordan,Dinar,JOD,1.0677,0.936617
Japan,Yen,JPY,0.0069,145.915
Kenya,Schilling,KES,0.0075,133.354167
Kyrgyz Republic,Som,KGS,0.011,91.198333
Cambodia,Riel,KHR,0.0002,5336.055833
Comoros,Franc,KMF,0.0018,557.3875
South Korea,Won,KRW,0.0007,1465.995
Kuwait,Dinar,KWD,2.5033,0.399475
Cayman Islands,Dollar,KYD,0.924,1.082308
Kazakhstan,Tenge,KZT,0.0021,466.338333
Lao People's Dem Rep,Kip,LAK,0.0001,11175.88417
Lebanon,Pound,LBP,0.0005,1995.086667
Sri Lanka,Rupee,LKR,0.0045,220.923333
Lesotho,Loti,LSL,0.056,17.850833
Libya,Dinar,LYD,0.5521,1.8114
Morocco,Dirham,MAD,0.0803,12.4575
Moldova,Leu,MDL,0.0449,22.28
Madagascar,Malagasy Ariary,MGA,0.0002,4488.0575
Macedonia,Denar,MKD,0.0143,69.740833
Myanmar,Kyat,MMK,0.0005,1949.66
Mongolia,Tugrik,MNT,0.0003,3311.475833
Macao,Pataca,MOP,0.0938,10.659167
Mauritania,Ouguiya,MRU,0.0021,470.811667
Mauritius,Rupee,MUR,0.0221,45.18
Maldive Islands,Rufiyaa,MVR,0.0491,20.386667
Malawi,Kwacha,MWK,0.001,960.068333
Mexico,Mexican Peso,MXN,0.0393,25.420833
Malaysia,Ringgit,MYR,0.1863,5.368717
Mozambique,Metical,MZN,0.0125,80.041667
Nigeria,Naira,NGN,0.0021,477.175
Nicaragua,Gold Cordoba,NIO,0.0238,41.9925
Norway,Norwegian Krone,NOK,0.0918,10.894167
Nepal,Rupee,NPR,0.0068,146.9575
New Zealand,Dollar,NZD,0.5194,1.925333
Oman,Rial,OMR,1.968,0.508133
Panama,Balboa,PAB,0.7576,1.319892
Peru,New Sol,PEN,0.2296,4.354525
Papua New Guinea,Kina,PGK,0.2286,4.374908
Philippines,Peso,PHP,0.0143,69.8275
Pakistan,Rupee,PKR,0.006,167.225833
Poland,Zloty,PLN,0.2059,4.855567
Paraguay,Guarani,PYG,0.0001,7676.394167
Qatar,Riyal,QAR,0.2081,4.805792
Romania,New Leu,RON,0.1889,5.2947
Serbia,Dinar,RSD,0.0075,133.96
Russia,Rouble,RUB,0.0118,84.786667
Rwanda,Franc,RWF,0.0009,1162.525
Saudi Arabia,Riyal,SAR,0.202,4.950583
Soloman Islands,Dollar,SBD,0.0962,10.396667
Seychelles,Rupee,SCR,0.0548,18.2525
Sudan Republic,Pound,SDG,0.0252,39.674167
Sweden,Krona,SEK,0.0854,11.714167
Singapore,Dollar,SGD,0.5592,1.788167
Sierra Leone,Leone,SLL,0.0001,10797.69667
Somali Republic,Schilling,SOS,0.0013,764.484167
Surinam,Dollar,SRD,0.1015,9.847992
Saotome & Principe,Dobra,STD,0,27778.32167
El Salvador,Colon,SVC,0.0866,11.545833
Swaziland,Lilangeni,SZL,0.056,17.850833
Thailand,Baht,THB,0.0235,42.57
Turkmenistan,New Manat,TMT,0.2162,4.625608
Tunisia,Dinar,TND,0.2768,3.612325
Tonga Islands,Pa'anga (AUS),TOP,0.5299,1.88715
Turkey,Turkish  Lira,TRY,0.1483,6.743333
Trinidad/Tobago,Dollar,TTD,0.1123,8.906358
Taiwan,Dollar,TWD,0.0249,40.125833
Tanzania,Schilling,TZS,0.0003,3023.423333
Ukraine,Hryvnia,UAH,0.0279,35.79
Uganda,Schilling,UGX,0.0002,4927.553333
USA,Dollar,USD,0.7576,1.319892
Uruguay,Peso,UYU,0.024,41.600833
Uzbekistan,Sum,UZS,0.0001,10703.90167
Venezuela,Bolivar Fuerte,VEF,0,225552.1842
Vietnam,Dong,VND,0,30484.0975
Vanuatu,Vatu,VUV,0.0068,147.9225
Western Samoa,Tala,WST,0.2947,3.393825
Cameroon Republic,CFA Franc,XAF,0.0013,743.184167
Antigua,E Caribbean Dollar,XCD,0.2806,3.5637
Benin,CFA Franc,XOF,0.0013,743.184167
Fr. Polynesia,CFP Franc,XPF,0.0074,135.195833
Yemen (Rep of),Rial,YER,0.003,330.29
South Africa,Rand,ZAR,0.056,17.850833
Zambia,Kwacha,ZMW,0.0701,14.2625
Zimbabwe,Dollar,ZWL,0.0021,477.663333
