Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.1478,6.767975
Afghanistan,Afghani,AFN,0.0127,78.818194
Albania,Lek,ALL,0.0059,170.706903
Algeria,Dinar,DZD,0.0081,124.193788
Angola,Readj Kwanza,AOA,0.0066,151.064442
Antigua,E Caribbean Dollar,XCD,0.2343,4.268432
Argentina,Peso,ARS,0.1346,7.430757
Armenia,Dram,AMD,0.0016,641.398038
Aruba,Florin,AWG,0.3534,2.829834
Australia,Dollar,AUD,0.6429,1.555564
Austria,Euro,EUR,0.8141,1.228351
Azerbaijan,New Manat,AZN,0.8064,1.240105
Bahamas,Dollar,BSD,0.6325,1.580925
Bahrain,Dinar,BHD,1.6778,0.596023
Bangladesh,Taka,BDT,0.0078,128.040884
Barbados,Dollar,BBD,0.3163,3.161775
Belarus,Rouble,BYR,0.0001,13366.75192
Belgium,Euro,EUR,0.8141,1.228351
Belize,Dollar,BZD,0.3251,3.076021
Benin,Franc,CFA,0.0012,804.848596
Bermuda,Dollar (US),BMD,0.6325,1.580925
Bhutan,Ngultrum,BTN,0.0116,85.898432
Bolivia Bolivi,ano,BOB,0.0915,10.923555
Bosnia- Herzegovinia,Marka,BAM,0.4167,2.399796
Botswana,Pula,BWP,0.0798,12.532628
Brazil,Real,BRL,0.3147,3.17778
Brunei,Dollar,BND,0.5087,1.965832
Bulgaria,Lev,BGN,0.4167,2.399794
Burkina Faso,Franc,CFA,0.0012,804.848596
Burundi,Franc,BIF,0.0004,2356.293269
Cambodia,Riel,KHR,0.0002,6364.800192
Cameroon Republic,Franc,CFA,0.0012,804.848596
Canada,Dollar,CAD,0.6318,1.582757
Cape Verde Islands,Escudo,CVE,0.0074,134.73898
Cayman Islands,Dollar,KYD,0.7714,1.296357
Central African,Franc,CFA,0.0012,804.848596
Chad,Franc,CFA,0.0012,804.848596
Chile,Peso,CLP,0.0013,763.586596
China,Yuan,CNY,0.1006,9.94349
Colombia,Peso,COP,0,2838.02
Comoros,Franc,KMF,0.0017,603.636576
Congo (Brazaville),Franc,CFA,0.0012,804.848596
Congo (DemRep),Congo Fr,CDF,0.0007,1428.350653
Costa Rica,Colon,CRC,0.0013,791.741903
Cote d'Ivoire,Franc,CFA,0.0012,804.848596
Croatia,Kuna,HRK,0.1084,9.225951
Cuba,Peso,CUP,0.6325,1.580919
Cyprus,Euro,EUR,0.8141,1.228351
Czech Republic,Koruna,CZK,0.0323,30.986419
Denmark,Krone,DKK,0.1093,9.150131
Djibouti,Franc,DJF,0.0036,277.583038
Dominica,E Caribbean Dollar,XCD,0.2343,4.268432
Dominican Republic,Peso,DOP,0.016,62.601088
Dubai,Dirham,AED,0.1478,6.767975
Ecuador,Dollar,ECS,0.6325,1.580925
Egypt,Pound,EGP,0.1018,9.825932
El Salvador,Colon,SVC,0.0723,13.82884
Equatorial Guinea,Franc,CFA,0.0012,804.848596
Eritrea,Nakfa,ERN,0.0422,23.712465
Estonia,Euro,EUR,0.8141,1.228351
Ethiopia,Birr,ETB,0.0351,28.487605
European Community,Euro,EUR,0.8141,1.228351
Fiji Islands,Dollar,FJD,0.3526,2.835903
Finland,Euro,EUR,0.8141,1.228351
Fr. Polynesia,Franc,CFP,0.0068,146.418076
France,Euro,EUR,0.8141,1.2283519
Gabon,Franc,CFA,0.0012,804.848596
Gambia,Dalasi,GMD,0.0198,50.614803
Georgia,Lari,GEL,0.0203,49.249373
Germany,Euro,EUR,0.8141,1.228351
Ghana,Cedi,GHS,0.3328,3.004503
Greece,Euro,EUR,0.8141,1.228351
Grenada,E Caribbean Dollar,XCD,0.2343,4.268432
Guatemala,Quetzal,GTQ,0.0805,12.421161
Guinea Bissau,Franc,CFA,0.0012,804.848596
Guinea Republic,Franc,GNF,0.0001,10969.9244
Guyana,Dollar,GYD,0.0031,317.966134
Haiti,Gourde,HTG,0.015,66.498282
Honduras,Lempira,HNL,0.0324,30.858517
Hong Kong,Dollar,HKD,0.0815,12.263534
Hungary,Forint,HUF,0.0028,354.579403
Iceland,Krona,ISK,0.0054,183.822076
India,Rupee,INR,0.0116,85.898432
Indonesia,Rupi ah,IDR,0.0001,15031.82308
Iran,Rial,IRR,0.0001,19423.21923
Iraq,Dinar,IQD,0.0005,1836.929423
Ireland,Euro,EUR,0.8141,1.228351
Israel,Shekel,ILS,0.1646,6.074167
Italy,Euro,EUR,0.8141,1.228351
Jamaica,Dollar,JMD,0.007,142.587557
Japan,Yen,JPY,0.0076,130.738615
Jordan,Dinar,JOD,0.893,1.119798
Kazakhstan,Tenge,KZT,0.0042,236.7405961
Kenya,Schilling,KES,0.0074,134.697884
Korea (North),Won,KPW,0.4866,2.055076
Kuwait,Dinar,KWD,2.2498,0.444486
Kyrgyz Republic,Som,KGS,0.0203,49.249373
Lao People's Dem Rep,Kip,LAK,0.0001,12565.25962
Latvia,Lat,EUR,1.1673,0.856659
Lebanon,Pound,LBP,0.0004,2378.453461
Lesotho,Loti,LSL,0.0745,13.418936
Liberia,Dollar (US),USD,0.6325,1.580925
Libya,Dinar,LYD,0.5037,1.985165
Lithuania,Litas,LTL,0.236,4.236559
Luxembourg,Euro,EUR,0.8141,1.228351
Macao,Pataca,MOP,0.0792,12.628963
Macedonia,Denar,MKD,0.0132,75.882167
Madagascar,Malagasy Ariary,MGA,0.0003,3489.240576
Malawi,Kwacha,MWK,0.0021,468.932769
Malaysia,Ringgit,MYR,0.2046,4.888323
Maldive Islands,Rufiyaa,MVR,0.0412,24.29945
Mali Republic,Franc,CFA,0.0012,804.848596
Malta,Euro,EUR,0.8141,1.228351
Mauritania,Ouguiya,MRO,0.0021,471.309192
Mauritius,Rupee,MUR,0.0207,48.207744
Mexico,Mexican Peso,MXN,0.0483,20.69769
Moldova,Leu,MDL,0.0519,19.256219
Mongolia,Tugrik,MNT,0.0005,2162.609038
Montserrat,E Caribbean Dollar,XCD,0.2343,4.268432
Morocco,Dirham,MAD,0.0735,13.61414
Mozambique,Metical,MZN,0.0218,45.84064
Myanmar,Kyat,MMK,0.0008,1301.357123
Nepal,Rupee,NPR,0.0073,137.469769
Netherland,Euro,EUR,0.8141,1.228351
New Caledonia,Franc,CFP,0.0068,146.418076
New Zealand,Dollar,NZD,0.5137,1.946634
Nicaragua,Gold Cordoba,NIO,0.0266,37.646307
Niger Republic,Franc,CFA,0.0012,804.848596
Nigeria,Naira,NGN,0.004,250.418019
Norway,Norwegian Krone,NOK,0.1094,9.137515
Oman,Rial,OMR,1.6429,0.608694
Pakistan,Rupee,PKR,0.0067,150.34573
Panama,Balboa,PAB,0.6325,1.580919
Papua New Guinea,Kina,PGK,0.3062,3.26624
Paraguay,Guaran i,PYG,0.0001,6870.789038
Peru,New Sol,PEN,0.2421,4.130073
Philippines,Peso,PHP,0.0152,65.911836
Poland,Zloty,PLN,0.1955,5.113782
Portugal,Euro,EUR,0.8141,1.228351
Qatar,Riyal,QAR,0.1737,5.75593
Romania,New Leu,RON,0.1823,5.485075
Russia,Rouble,RUB,0.0203,49.249373
Rwanda,Franc,RWF,0.001,981.322019
Saotome & Principe,Dobra,STD,0,29487.03462
Saudi Arabia,Riyal,SAR,0.1686,5.929651
Senegal,Franc,CFA,0.0012,804.848596
Serbia,Dinar,RSD,0.0072,139.836903
Seychelles,Rupee,SCR,0.0472,21.195038
Sierra Leone,Leone,SLE,0.0001,6846.487307
Singapore,Dollar,SGD,0.5088,1.96554
Slovakia,Euro,EUR,0.8141,1.228351
Slovenia,Euro,EUR,0.8141,1.228351
Soloman Islands,Dollar,SBD,0.0892,11.20903
Somali Republic,Schilling,SOS,0.0004,2479.860576
South Africa,Rand,ZAR,0.0746,13.413334
South Korea,Won,KRW,0.0006,1762.881346
Spain,Euro,EUR,0.8141,1.228351
Sri Lanka,Rupee,LKR,0.0049,205.027153
St Christopher &,E Caribbean Dollar,XCD,0.2343,4.268432
St Lucia,E Caribbean Dollar,XCD,0.2343,4.268432
St Vincent,E Caribbean Dollar,XCD,0.2343,4.268432
Sudan Republic,Pound,SDG,0.1601,6.246534
Surinam,Dollar,SRD,0.1917,5.216963
Swaziland,Lilangeni,SZL,0.0745,13.418936
Sweden,Krona,SEK,0.0944,10.595496
Switzerland,Franc,CHF,0.6731,1.48565
Syria,Pound,SYP,0.0095,105.433448
Taiwan,Dollar,TWD,0.0214,46.662044
Tajikistan,Somoni,TJS,0.0203,49.249373
Tanzania,Schilling,TZS,0.0004,2515.534038
Thailand,Baht,THB,0.0205,48.714236
Togo Republic,Franc,CFA,0.0012,804.848596
Tonga Islands,Pa'anga (AUS),TOP,0.6429,1.555564
Trinidad/Tobago,Dollar,TTD,0.0987,10.130469
Tunisia,Dinar,TND,0.4016,2.49018
Turkey,Turkish Lira,TRY,0.352,2.840913
Turkmenistan,New Manat,TMT,0.2223,4.49883
UAE,Dirham,AED,0.1478,6.767975
Uganda,Schilling,UGX,0.0002,4059.66442
Ukraine,Hryvnia,UAH,0.078,12.813223
Uruguay,Peso,UYU,0.0314,31.873157
USA,Dollar,USD,0.6325,1.580925
Uzbekistan,Sum,UZS,0.0003,3056.430769
Vanuatu,Vatu,VUV,0.0067,149.114173
Venezuela,Bolivar Fuerte,VEF,0.1412,7.080534
Vietnam,Dong,VND,0,32986.35385
Wallis & Futuna Islands,Franc,CFP,0.0068,146.418076
Western Samoa,Tala,WST,0.276,3.623753
Yemen (Rep of),Rial,YER,0.0029,339.741673
Zambia,Kwacha,ZMK,0.0002,6262.30405
Zimbabwe,Dollar,ZWL,0.0017,597.903784
