Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
European Community,Euro,EUR,0.7874,1.270009
Abu Dhabi,Dirham,AED,0.1683,5.941769
Albania,Lek,ALL,0.0056,177.562875
Algeria,Dinar,DZD,0.0074,135.184926
Angola,Readj Kwanza,AOA,0.0062,161.431601
Antigua,E Caribbean Dollar,XCD,0.2289,4.368359
Argentina,Peso,ARS,0.074,13.518555
Armenia,Dram,AMD,0.0015,680.756376
Aruba,Florin,AWG,0.3454,2.895548
Australia,Dollar,AUD,0.5421,1.844671
Austria,Euro,EUR,0.7874,1.270009
Azerbaijan,New Manat,AZN,0.7747,1.290865
Bahamas,Dollar,BSD,0.6255,1.598652
Bahrain,Dinar,BHD,1.6396,0.609907
Bangladesh,Taka,BDT,0.008,125.427223
Barbados,Dollar,BBD,0.309,3.2358
Belarus,Rouble,BYR,0.0001,18178.92469
Belgium,Euro,EUR,0.7874,1.270009
Belize,Dollar,BZD,0.3093,3.232967
Benin,Franc,CFA,0.0012,832.173132
Bermuda,Dollar (US),BMD,0.6255,1.598652
Bhutan,Ngultrum,BTN,0.0101,98.809869
Bolivia,Boliviano,BOB,0.0894,11.179465
Bosnia- Herzegovinia,Marka,BAM,0.4029,2.482128
Botswana,Pula,BWP,0.0678,14.75493
Brazil,Real,BRL,0.2532,3.949423
Brunei,Dollar,BND,0.4816,2.076375
Bulgaria,Lev,BGN,0.4029,2.481734
Burkina Faso,Franc,CFA,0.0012,832.173132
Burundi,Franc,BIF,0.0004,2513.09824
Cambodia,Riel,KHR,0.0002,6531.265625
Cameroon Republic,Franc,CFA,0.0012,832.173132
Canada,Dollar,CAD,0.5461,1.831271
Cape Verde Islands,Escudo,CVE,0.0072,138.240394
Cayman Islands,Dollar,KYD,0.7538,1.326696
Central African Republic,Franc,CFA,0.0012,832.173132
Chad,Franc,CFA,0.0012,832.173132
Chile,Peso,CLP,0.0011,946.055778
China,Yuan,CNY,0.1007,9.926634
Colombia,Peso,COP,0.0003,3371.950846
Comoros,Franc,KMF,0.0016,611.577542
Congo (Brazaville),Franc,CFA,0.0012,832.173132
Congo (DemRep),Congo Fr,CDF,0.0007,1491.183525
Costa Rica,Colon,CRC,0.0011,876.715363
Cote d'Ivoire,Franc,CFA,0.0012,832.173132
Croatia,Kuna,HRK,0.1031,9.697926
Cuba,Peso,CUP,0.6181,1.617905
Cyprus,Euro,EUR,0.7874,1.270009
Czech Republic,Koruna,CZK,0.0286,35.00173
Denmark,Krone,DKK,0.1057,9.463411
Djibouti,Franc,DJF,0.0035,287.467869
Dominica,E Caribbean Dollar,XCD,0.2289,4.368359
Dominican Republic,Peso,DOP,0.0141,70.785615
Dubai,Dirham,AED,0.1683,5.941769
Ecuador,Dollar,ECS,0.6255,1.598652
Egypt,Pound,EGP,0.086,11.62905
El Salvador,Colon,SVC,0.0707,14.144994
Equatorial Guinea,Franc,CFA,0.0012,832.173132
Eritrea,Nakfa,ERN,0.0413,24.205738
Estonia,Euro,EUR,0.7874,1.270009
Ethiopia,Birr,ETB,0.0311,32.199032
Fiji Islands,Dollar,FJD,0.3236,3.08985
Finland,Euro,EUR,0.7874,1.270009
Fr. Polynesia,Franc,CFP,0.0066,151.415111
France,Euro,EUR,0.7874,1.270009
