Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.2070,4.8317
Albania,Lek,ALL,0.0087,114.7873
Algeria,Dinar,DZD,0.0058,173.4568
Angola,Readj Kwanza,AOA,0.0008,1208.1884
Antigua,E Caribbean Dollar,XCD,0.2808,3.5611
Argentina,Peso,ARS,0.0006,1605.5074
Armenia,Dram,AMD,0.0020,509.5097
Aruba,Florin,AWG,0.4246,2.3550
Australia,Dollar,AUD,0.4896,2.0426
Azerbaijan,New Manat,AZN,0.4471,2.2366
Bahamas,Dollar,BSD,0.7601,1.3156
Bahrain,Dinar,BHD,2.0215,0.4947
Bangladesh,Taka,BDT,0.0063,159.9523
Barbados,Dollar,BBD,0.3800,2.6313
Belarus,Rouble,BYN,0.2295,4.3576
Belize,Dollar,BZD,0.3779,2.6462
Benin,CFA Franc,XOF,0.0013,768.5905
Bermuda,Dollar (US),BMD,0.7601,1.3156
Bhutan,Ngultrum,BTN,0.0088,114.0186
Bolivia,Boliviano,BOB,0.1100,9.0896
Bosnia- Herzegovinia,Marka,BAM,0.4364,2.2917
Botswana,Pula,BWP,0.0559,17.8870
Brazil,Real,BRL,0.1349,7.4142
Brunei,Dollar,BND,0.5809,1.7215
Bulgaria,Lev,BGN,0.4364,2.2917
Burkina Faso,CFA Franc,XOF,0.0013,768.5905
Burundi,Franc,BIF,0.0003,3902.4324
Cambodia,Riel,KHR,0.0002,5277.4603
Cameroon Republic,CFA Franc,XAF,0.0013,768.5905
Canada,Dollar,CAD,0.5435,1.8399
Cape Verde Islands,Escudo,CVE,0.0077,129.2043
Cayman Islands,Dollar,KYD,0.9163,1.0914
Central African Republic,CFA Franc,XAF,0.0013,768.5905
Chad,CFA Franc,XAF,0.0013,768.5905
Chile,Peso,CLP,0.0008,1255.3893
China,Yuan,CNY,0.1055,9.4753
Colombia,Peso,COP,0.0002,5380.7837
Comoros,Franc,KMF,0.0017,576.4429
Congo (Brazaville),CFA Franc,XAF,0.0013,768.5905
Congo (DemRep),Congo Fr,CDF,0.0003,3649.9595
Costa Rica,Colon,CRC,0.0015,662.5805
Cote d'Ivoire,CFA Franc,XOF,0.0013,768.5905
Cuba,Peso,CUP,0.0317,31.5457
Czech Republic,Koruna,CZK,0.0345,29.0085
Denmark,Krone,DKK,0.1144,8.7446
Djibouti,Franc,DJF,0.0043,234.2052
Dominica,E Caribbean Dollar,XCD,0.2808,3.5611
Dominican Republic,Peso,DOP,0.0124,80.9571
Dubai,Dirham,AED,0.2070,4.8317
Egypt,Pound,EGP,0.0153,65.1741
El Salvador,Colon,SVC,0.0869,11.5118
Equatorial Guinea,CFA Franc,XAF,0.0013,768.5905
Eritrea,Nakfa,ERN,0.0507,19.7345
Ethiopia,Birr,ETB,0.0056,179.6564
Eurozone,Euro,EUR,0.8535,1.1717
Fiji Islands,Dollar,FJD,0.3339,2.9948
Fr. Polynesia,CFP Franc,XPF,0.0072,139.8220
Gabon,CFA Franc,XAF,0.0013,768.5905
Gambia,Dalasi,GMD,0.0105,95.3073
Georgia,Lari,GEL,0.2766,3.6158
Ghana,Cedi,GHS,0.0595,16.8096
Grenada,E Caribbean Dollar,XCD,0.2808,3.5611
Guatemala,Quetzal,GTQ,0.0989,10.1089
Guinea Bissau,CFA Franc,XOF,0.0013,768.5905
Guinea Republic,Franc,GNF,0.0001,11399.3062
Guyana,Dollar,GYD,0.0036,275.0915
Haiti,Gourde,HTG,0.0058,172.1848
Honduras,Lempira,HNL,0.0293,34.1337
Hong Kong,Dollar,HKD,0.0975,10.2566
Hungary,Forint,HUF,0.0021,467.9965
Iceland,Krona,ISK,0.0059,169.3284
India,Rupee,INR,0.0088,114.0186
Indonesia,Rupiah,IDR,0.0000,21608.1584
Iraq,Dinar,IQD,0.0006,1722.0151
Israel,Shekel,ILS,0.2188,4.5713
Jamaica,Dollar,JMD,0.0048,209.0366
Japan,Yen,JPY,0.0051,196.1751
