Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.1698,5.88874
Afghanistan,Afghani,AFN,0.0145,69.07878
Albania,Lek,ALL,0.0062,161.70847
Algeria,Dinar,DZD,0.0085,117.053862
Angola,Readj Kwanza,AOA,0.0067,150.193725
Antigua,E Caribbean Dollar,XCD,0.231,4.328835
Argentina,Peso,ARS,0.1513,6.611286
Armenia,Dram,AMD,0.0017,595.023235
Aruba,Florin,AWG,0.3484,2.869862
Australia,Dollar,AUD,0.6438,1.553232
Austria,Euro,EUR,0.8683,1.151701
Azerbaijan,New Manat,AZN,0.7895,1.266621
Bahamas,Dollar,BSD,0.6235,1.603844
Bahrain,Dinar,BHD,1.6017,0.624317
Bangladesh,Taka,BDT,0.0085,118.157254
Barbados,Dollar,BBD,0.3119,3.206519
Belarus,Rouble,BYR,0.0001,8126.32196
Belgium,Euro,EUR,0.8683,1.151701
Belize,Dollar,BZD,0.3159,3.165149
Benin,Franc,CFA,0.0013,755.748666
Bermuda,Dollar (US),BMD,0.6235,1.603844
Bhutan,Ngultrum,BTN,0.0134,74.557648
Bolivia,Boliviano,BOB,0.0899,11.126
Bosnia- Herzegovinia,Marka,BAM,0.4438,2.2534
Botswana,Pula,BWP,0.0916,10.915992
Brazil,Real,BRL,0.3735,2.67755
Brunei,Dollar,BND,0.4965,2.013958
Bulgaria,Lev,BGN,0.4438,2.253421
Burkina Faso,Franc,CFA,0.0013,755.748666
Burundi,Franc,BIF,0.0005,2015.156274
Cambodia,Riel,KHR,0.0002,6475.57549
Cameroon Republic,Franc,CFA,0.0013,755.748666
Canada,Dollar,CAD,0.6312,1.584378
Cape Verde Islands,Escudo,CVE,0.0081,124.081607
Cayman Islands,Dollar,KYD,0.0615,16.269574
Central African,Franc,CFA,0.0013,755.748666
Chad,Franc,CFA,0.0013,755.748666
Chile,Peso,CLP,0.0013,771.550411
China,Yuan (Renminbi),CNY,0.0964,10.374478
Colombia,Peso,COP,0.0003,2959.414509
Comoros,Franc,KMF,0.0018,566.81298
Congo (Brazaville),Franc,CFA,0.0013,755.748666
Congo (DemRep),Congo Fr,CDF,0.0007,1458.637352
Costa Rica,Colon,CRC,0.0012,810.964078
Cote d'Ivoire,Franc,CFA,0.0013,755.748666
Croatia,Kuna,HRK,0.1168,8.560872
Cuba,Peso,CUP,0.6237,1.603278
Cyprus,Euro,EUR,0.8683,1.151701
Czech Republic,Koruna,CZK,0.0353,28.314162
Denmark,Krone,DKK,0.1166,8.576243
Djibouti,Franc,DJF,0.0036,280.387372
Dominica,E Caribbean Dollar,XCD,0.231,4.328835
Dominican Republic,Peso,DOP,0.0164,60.816127
Dubai,Dirham,AED,0.1698,5.888749
Ecuador,Dollar,ECS,0.6235,1.603844
Egypt,Pound,EGP,0.105,9.51958
El Salvador,Colon,SVC,0.0713,14.024547
Equatorial Guinea,Franc,CFA,0.0013,755.748666
Eritrea,Nakfa,ERN,0.0416,24.048915
Estonia,Euro,EUR,0.5554,1.8004
Ethiopia,Birr,ETB,0.0368,27.1943392
European Community,Euro,EUR,0.8683,1.151701
Fiji Islands,Dollar,FJD,0.3479,2.874145
Finland,Euro,EUR,0.8683,1.151701
Fr. Polynesia,Franc,CFP,0.0073,137.471117
France,Euro,EUR,0.8683,1.151701
Gabon,Franc,CFA,0.0013,755.748666
Gambia,Dalasi,GMD,0.022,45.487305
Georgia,Lari,GEL,0.0213,47.057882
Germany,Euro,EUR,0.8683,1.151701
Ghana,Cedi,GHS,0.4046,2.471605
Greece,Euro,EUR,0.8683,1.151701
Grenada,E Caribbean Dollar,XCD,0.231,4.328835
Guatemala,Quetzal,GTQ,0.08,12.498837
Guinea Bissau,Franc,CFA,0.0013,755.748666
Guinea Republic,Franc,GNF,0.0001,11127.67843
Guyana,Dollar,GYD,0.0031,325.0505294
Haiti,Gourde,HTG,0.0155,64.599154
Honduras,Lempira,HNL,0.033,30.287207
Hong Kong,Dollar,HKD,0.0801,12.484348
Hungary,Forint,HUF,0.0031,321.140764
Iceland,Krona,ISK,0.0054,185.76745
India,Rupee,INR,0.0134,74.557648
Indonesia,Rupiah,IDR,0.0001,14037.28627
Iran,Rial,IRR,0.0001,16977.89216
Iraq,Dinar,IQD,0.0005,1872.536274
Ireland,Euro,EUR,0.8683,1.151701
Israel,Shekel,ILS,0.1747,5.724734
Italy,Euro,EUR,0.8683,1.151701
Jamaica,Dollar,JMD,0.0073,137.1204117
Japan,Yen,JPY,0.0078,128.003692
Jordan,Dinar,JOD,0.8804,1.13586
Kazakhstan,Tenge,KZT,0.0043,235.107098
Kenya,Schilling,KES,0.007,142.140686
