Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.1978,5.056488
Albania,Lek,ALL,0.0059,170.723375
Armenia,Dram,AMD,0.0015,661.087208
Angola,Readj Kwanza,AOA,0.0045,223.259667
Argentina,Peso,ARS,0.0499,20.039292
Australia,Dollar,AUD,0.5398,1.852649
Aruba,Florin,AWG,0.4058,2.464473
Azerbaijan,New Manat,AZN,0.4582,2.182317
Bosnia- Herzegovinia,Marka,BAM,0.4119,2.428067
Barbados,Dollar,BBD,0.3632,2.753181
Bangladesh,Taka,BDT,0.0093,108.051708
Bulgaria,Lev,BGN,0.4118,2.428196
Bahrain,Dinar,BHD,1.9263,0.519127
Burundi,Franc,BIF,0.0004,2222.357583
Bermuda,Dollar (US),BMD,0.7267,1.376045
Brunei,Dollar,BND,0.2934,3.408618
Bolivia,Boliviano,BOB,0.1052,9.505183
Brazil,Real,BRL,0.206,4.854893
Bahamas,Dollar,BSD,0.7267,1.376045
Bhutan,Ngultrum,BTN,0.0108,92.449
Botswana,Pula,BWP,0.0665,15.039908
Belarus,Rouble,BYN,0.3887,2.57286
Belize,Dollar,BZD,0.3632,2.753017
Canada,Dollar,CAD,0.5501,1.817877
Congo (DemRep),Congo Fr,CDF,0.0008,1217.051375
Switzerland,Franc,CHF,0.7393,1.35263
Chile,Peso,CLP,0.0011,937.166708
China,Yuan,CNY,0.1099,9.098112
Colombia,Peso,COP,0.0002,4207.046542
Costa Rica,Colon,CRC,0.0013,745.827167
Cuba,Peso,CUP,0.7264,1.376575
Cape Verde Islands,Escudo,CVE,0.0073,136.919417
Czech Republic,Koruna,CZK,0.0298,33.553167
Djibouti,Franc,DJF,0.0041,244.655458
Denmark,Krone,DKK,0.1082,9.239276
Dominican Republic,Peso,DOP,0.0158,63.174
Algeria,Dinar,DZD,0.0067,150.356917
Ecuador,Dollar,ECS,0.7267,1.376045
Egypt,Pound,EGP,0.0784,12.756667
Eritrea,Nakfa,ERN,0.0484,20.6435
Ethiopia,Birr,ETB,0.0334,29.935083
Eurozone,Euro,EUR,0.8059,1.240784
Fiji Islands,Dollar,FJD,0.3469,2.88288
Georgia,Lari,GEL,0.3119,3.206053
Ghana,Cedi,GHS,0.1853,5.395412
Gambia,Dalasi,GMD,0.0173,57.703958
Guinea Republic,Franc,GNF,0.0001,9424.586583
Guatemala,Quetzal,GTQ,0.0954,10.486725
Guyana,Dollar,GYD,0.0035,285.108708
Hong Kong,Dollar,HKD,0.0937,10.676933
Honduras,Lempira,HNL,0.0319,31.304417
Croatia,Kuna,HRK,0.1069,9.354187
Haiti,Gourde,HTG,0.0116,86.077125
Hungary,Forint,HUF,0.0026,386.828917
Indonesia,Rupiah,IDR,0.0001,18335.22346
Israel,Shekel,ILS,0.1892,5.285135
India,Rupee,INR,0.0108,92.449
Iraq,Dinar,IQD,0.0006,1616.382625
Iceland,Krona,ISK,0.0059,168.441917
Jamaica,Dollar,JMD,0.0058,171.248417
Jordan,Dinar,JOD,1.0244,0.976191
Japan,Yen,JPY,0.0067,150.168417
Kenya,Schilling,KES,0.0072,139.787417
Kyrgyz Republic,Som,KGS,0.0104,96.609792
Cambodia,Riel,KHR,0.0002,5330.036625
Comoros,Franc,KMF,0.0016,610.738583
South Korea,Won,KRW,0.0006,1598.662625
Kuwait,Dinar,KWD,2.4045,0.415885
Cayman Islands,Dollar,KYD,0.8858,1.128863
Kazakhstan,Tenge,KZT,0.0021,469.985917
Lao People's Dem Rep,Kip,LAK,0.0001,11193.88567
Lebanon,Pound,LBP,0.0005,2076.391292
Sri Lanka,Rupee,LKR,0.005,200.72675
Lesotho,Loti,LSL,0.049,20.421333
Libya,Dinar,LYD,0.5337,1.873744
Morocco,Dirham,MAD,0.0742,13.476167
Moldova,Leu,MDL,0.0366,27.330792
Madagascar,Malagasy Ariary,MGA,0.0002,4370.964
Macedonia,Denar,MKD,0.0131,76.4425
Myanmar,Kyat,MMK,0.0006,1693.940542
Mongolia,Tugrik,MNT,0.0003,2891.671958
Macao,Pataca,MOP,0.0909,11.001733
Mauritania,Ouguiya,MRO,0.0021,481.10375
Mauritius,Rupee,MUR,0.0205,48.857917
Maldive Islands,Rufiyaa,MVR,0.0475,21.074542
Malawi,Kwacha,MWK,0.001,975.086042
Mexico,Mexican Peso,MXN,0.0393,25.431792
Malaysia,Ringgit,MYR,0.1767,5.660823
Mozambique,Metical,MZN,0.012,83.258833
Nigeria,Naira,NGN,0.0029,347.059917
Nicaragua,Gold Cordoba,NIO,0.0255,39.258144
Norway,Norwegian Krone,NOK,0.0865,11.563583
