Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.2134,4.6865
Albania,Lek,ALL,0.0084,118.5071
Algeria,Dinar,DZD,0.0058,171.2515
Angola,Readj Kwanza,AOA,0.0009,1142.7772
Antigua,E Caribbean Dollar,XCD,0.2899,3.4492
Argentina,Peso,ARS,0.0008,1217.9017
Armenia,Dram,AMD,0.0020,498.7257
Aruba,Florin,AWG,0.4378,2.2842
Australia,Dollar,AUD,0.5132,1.9484
Azerbaijan,New Manat,AZN,0.4609,2.1695
Bahamas,Dollar,BSD,0.7836,1.2761
Bahrain,Dinar,BHD,2.0842,0.4798
Bangladesh,Taka,BDT,0.0067,150.1340
Barbados,Dollar,BBD,0.3918,2.5522
Belarus,Rouble,BYN,0.2397,4.1725
Belize,Dollar,BZD,0.3883,2.5754
Benin,CFA Franc,XOF,0.0013,779.2766
Bermuda,Dollar (US),BMD,0.7836,1.2761
Bhutan,Ngultrum,BTN,0.0093,107.5451
Bolivia,Boliviano,BOB,0.1135,8.8143
Bosnia- Herzegovinia,Marka,BAM,0.4304,2.3235
Botswana,Pula,BWP,0.0577,17.3220
Brazil,Real,BRL,0.1413,7.0787
Brunei,Dollar,BND,0.5856,1.7076
Bulgaria,Lev,BGN,0.4304,2.3235
Burkina Faso,CFA Franc,XOF,0.0013,779.2766
Burundi,Franc,BIF,0.0003,3704.2571
Cambodia,Riel,KHR,0.0002,5177.2589
Cameroon Republic,CFA Franc,XAF,0.0013,779.2766
Canada,Dollar,CAD,0.5654,1.7685
Cape Verde Islands,Escudo,CVE,0.0076,131.0007
Cayman Islands,Dollar,KYD,0.9522,1.0503
Central African Republic,CFA Franc,XAF,0.0013,779.2766
Chad,CFA Franc,XAF,0.0013,779.2766
Chile,Peso,CLP,0.0008,1212.8879
China,Yuan,CNY,0.1086,9.2102
Colombia,Peso,COP,0.0002,5254.5218
Comoros,Franc,KMF,0.0017,584.4575
Congo (Brazaville),CFA Franc,XAF,0.0013,779.2766
Congo (DemRep),Congo Fr,CDF,0.0003,3616.3107
Costa Rica,Colon,CRC,0.0015,652.5006
