Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.2123,4.7113
Albania,Lek,ALL,0.0065,153.870608
Algeria,Dinar,DZD,0.0071,141.838817
Angola,Readj Kwanza,AOA,0.0047,212.751217
Antigua,E Caribbean Dollar,XCD,0.2888,3.462775
Argentina,Peso,ARS,0.0474,21.101775
Armenia,Dram,AMD,0.0016,618.424358
Aruba,Florin,AWG,0.4355,2.296008
Australia,Dollar,AUD,0.5976,1.6733
Azerbaijan,New Manat,AZN,0.4528,2.208425
Bahamas,Dollar,BSD,0.7796,1.282692
Bahrain,Dinar,BHD,2.0672,0.48375
Bangladesh,Taka,BDT,0.0096,103.933367
Barbados,Dollar,BBD,0.3898,2.565383
Belarus,Rouble,BYN,0.3883,2.575008
Belize,Dollar,BZD,0.3896,2.5669
Benin,Franc,CFA,0.0013,751.841017
Bermuda,Dollar (US),BMD,0.7796,1.282692
Bhutan,Ngultrum,BTN,0.0119,83.8606
Bolivia,Boliviano,BOB,0.1127,8.871158
Bosnia- Herzegovinia,Marka,BAM,0.4461,2.24175
Botswana,Pula,BWP,0.0754,13.265775
Brazil,Real,BRL,0.2444,4.091392
Brunei,Dollar,BND,0.5624,1.778117
Bulgaria,Lev,BGN,0.446,2.241908
Burkina Faso,Franc,CFA,0.0013,751.841017
Burundi,Franc,BIF,0.0005,2206.898908
Cambodia,Riel,KHR,0.0002,5190.532042
Cameroon Republic,Franc,CFA,0.0013,751.841017
Canada,Dollar,CAD,0.6012,1.663342
Cape Verde Islands,Escudo,CVE,0.0079,126.771108
Cayman Islands,Dollar,KYD,0.9509,1.051642
Central African Republic,Franc,CFA,0.0013,751.841017
Chad,Franc,CFA,0.0013,751.841017
Chile,Peso,CLP,0.0012,833.321158
China,Yuan,CNY,0.115,8.694692
Colombia,Peso,COP,0.0003,3780.095633
Comoros,Franc,KMF,0.0018,563.880142
Congo (Brazaville),Franc,CFA,0.0013,751.841017
Congo (DemRep),Congo Fr,CDF,0.0005,1837.751325
Costa Rica,Colon,CRC,0.0014,726.811292
Cote d'Ivoire,Franc,CFA,0.0013,751.841017
Croatia,Kuna,HRK,0.1169,8.554467
Cuba,Peso,CUP,0.7796,1.282692
Czech Republic,Koruna,CZK,0.033,30.30255
Denmark,Krone,DKK,0.1173,8.526183
Djibouti,Franc,DJF,0.0044,227.953592
Dominica,E Caribbean Dollar,XCD,0.2888,3.462775
Dominican Republic,Peso,DOP,0.0165,60.624808
