Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.2026,4.934967
Albania,Lek,ALL,0.0069,145.201667
Armenia,Dram,AMD,0.0015,647.473333
Angola,Readj Kwanza,AOA,0.0031,325.015833
Argentina,Peso,ARS,0.0282,35.519167
Australia,Dollar,AUD,0.5603,1.784817
Aruba,Florin,AWG,0.4158,2.404958
Azerbaijan,New Manat,AZN,0.4387,2.279708
Bosnia- Herzegovinia,Marka,BAM,0.4511,2.216842
Barbados,Dollar,BBD,0.3721,2.687092
Bangladesh,Taka,BDT,0.0089,112.336667
Bulgaria,Lev,BGN,0.4511,2.216892
Bahrain,Dinar,BHD,1.9735,0.506725
Burundi,Franc,BIF,0.0004,2389.508333
Bermuda,Dollar (US),BMD,0.7443,1.343550
Brunei,Dollar,BND,0.5531,1.808050
Bolivia,Boliviano,BOB,0.1077,9.283917
Brazil,Real,BRL,0.2065,4.843425
Bahamas,Dollar,BSD,0.7443,1.343550
Bhutan,Ngultrum,BTN,0.0110,91.165833
Botswana,Pula,BWP,0.0736,13.584425
Belarus,Rouble,BYN,0.3689,2.710508
Belize,Dollar,BZD,0.3724,2.685417
Canada,Dollar,CAD,0.5762,1.735442
Congo (DemRep),Congo Fr,CDF,0.0005,2167.139167
Switzerland,Franc,CHF,0.7625,1.311442
Chile,Peso,CLP,0.0012,856.401667
China,Yuan,CNY,0.1131,8.842617
Colombia,Peso,COP,0.0003,3935.857500
Costa Rica,Colon,CRC,0.0013,769.060833
Cuba,Peso,CUP,0.7443,1.343550
Cape Verde Islands,Escudo,CVE,0.0080,125.360000
Czech Republic,Koruna,CZK,0.0344,29.055000
Djibouti,Franc,DJF,0.0042,238.769167
Denmark,Krone,DKK,0.1184,8.447250
Dominican Republic,Peso,DOP,0.0151,66.312500
Algeria,Dinar,DZD,0.0064,156.345000
Ecuador,Dollar,ECS,0.7443,1.343550
Egypt,Pound,EGP,0.0418,23.943333
Eritrea,Nakfa,ERN,0.0496,20.147500
Ethiopia,Birr,ETB,0.0271,36.927500
Eurozone,Euro,EUR,0.8823,1.133458
Fiji Islands,Dollar,FJD,0.3598,2.779633
Georgia,Lari,GEL,0.2949,3.390500
Ghana,Cedi,GHS,0.1599,6.255850
Gambia,Dalasi,GMD,0.0154,64.870000
Guinea Republic,Franc,GNF,0.0001,12140.861667
Guatemala,Quetzal,GTQ,0.0994,10.059158
Guyana,Dollar,GYD,0.0036,279.440833
Hong Kong,Dollar,HKD,0.0950,10.527500
Honduras,Lempira,HNL,0.0312,32.034167
Croatia,Kuna,HRK,0.1187,8.421225
Haiti,Gourde,HTG,0.0111,90.108567
Hungary,Forint,HUF,0.0028,360.226667
Indonesia,Rupiah,IDR,0.0001,18993.146667
Israel,Shekel,ILS,0.2085,4.796125
India,Rupee,INR,0.0110,91.165833
Iraq,Dinar,IQD,0.0007,1526.995000
Iceland,Krona,ISK,0.0069,144.255000
Jamaica,Dollar,JMD,0.0058,172.675000
Jordan,Dinar,JOD,1.0490,0.953292
Japan,Yen,JPY,0.0067,148.226667
Kenya,Schilling,KES,0.0073,136.114167
Kyrgyz Republic,Som,KGS,0.0108,92.521667
Cambodia,Riel,KHR,0.0002,5433.167500
Comoros,Franc,KMF,0.0018,557.619167
South Korea,Won,KRW,0.0007,1475.541667
Kuwait,Dinar,KWD,2.4656,0.405575
Cayman Islands,Dollar,KYD,0.9077,1.101700
Kazakhstan,Tenge,KZT,0.0022,457.677500
Lao People's Dem Rep,Kip,LAK,0.0001,11289.119167
Lebanon,Pound,LBP,0.0005,2032.495000
Sri Lanka,Rupee,LKR,0.0046,215.935833
