Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.1763,5.672703922
Afghanistan,Afghani,AFN,0.0145,69.19150196
Albania,Lek,ALL,0.0062,160.437
Armenia,Dram,AMD,0.0017,574.1155098
Angola,Readj Kwanza,AOA,0.007,141.856902
Argentina,Peso,ARS,0.1653,6.048069231
Australia,Dollar,AUD,0.5927,1.687220755
Aruba,Florin,AWG,0.3617,2.764619608
Azerbaijan,New Manat,AZN,0.8061,1.240527451
Bosnia- Herzegovinia,Marka,BAM,0.4391,2.277472549
Barbados,Dollar,BBD,0.3237,3.088911765
Bangladesh,Taka,BDT,0.0093,107.4484314
Bulgaria,Lev,BGN,0.4391,2.277507843
Bahrain,Dinar,BHD,1.7174,0.582284314
Burundi,Franc,BIF,0.0005,1900.760588
Bermuda,Dollar (US),BMD,0.6469,1.545718519
Brunei,Dollar,BND,0.4745,2.107503922
Bolivia,Boliviano,BOB,0.0922,10.84027451
Brazil,Real,BRL,0.3674,2.721684615
Bahamas,Dollar,BSD,0.6469,1.545718519
Bhutan,Ngultrum,BTN,0.0141,70.72471887
Botswana,Pula,BWP,0.0952,10.50762157
Belarus,Rouble,BYR,0.0002,4601.431176
Belize,Dollar,BZD,0.332,3.011703922
Canada,Dollar,CAD,0.6272,1.594269231
Congo (DemRep),Congo Fr,CDF,0.0007,1398.04451
Switzerland,Franc,CHF,0.6198,1.613365385
Chile,Peso,CLP,0.0013,788.6077843
China,Yuan (Renminbi),CNY,0.0956,10.45870588
Colombia,Peso,COP,0.0003,2932.071569
Costa Rica,Colon,CRC,0.0012,812.6588235
Cuba,Peso,CUP,0.6475,1.544484314
Cape Verde Islands,Escudo,CVE,0.008,125.333549
Czech Republic,Koruna,CZK,0.0339,29.45790196
Djibouti,Franc,DJF,0.0037,269.6671373
Denmark,Krone,DKK,0.1151,8.686044231
Dominican Republic,Peso,DOP,0.018,55.6198
Algeria,Dinar,DZD,0.0088,114.0046078
Ecuador,Dollar,ECS,0.6469,1.545718519
Egypt,Pound,EGP,0.115,8.694990196
Eritrea,Nakfa,ERN,0.0432,23.16686667
Ethiopia,Birr,ETB,0.0449,22.25202353
European Community,Euro,EUR,0.8573,1.166403846
Fiji Islands,Dollar,FJD,0.3371,2.966282353
Georgia,Lari,GEL,0.0213,46.89766275
