Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.2130,4.6959
Albania,Lek,ALL,0.0084,119.0487
Algeria,Dinar,DZD,0.0058,171.5903
Angola,Readj Kwanza,AOA,0.0009,1120.2496
Antigua,E Caribbean Dollar,XCD,0.2895,3.4548
Argentina,Peso,ARS,0.0009,1150.3558
Armenia,Dram,AMD,0.0020,501.8598
Aruba,Florin,AWG,0.4369,2.2888
Australia,Dollar,AUD,0.5184,1.9290
Azerbaijan,New Manat,AZN,0.4599,2.1742
Bahamas,Dollar,BSD,0.7821,1.2787
Bahrain,Dinar,BHD,2.0800,0.4808
Bangladesh,Taka,BDT,0.0068,146.9283
Barbados,Dollar,BBD,0.3910,2.5573
Belarus,Rouble,BYN,0.2389,4.1862
Belize,Dollar,BZD,0.3873,2.5817
Benin,CFA Franc,XOF,0.0013,773.2773
Bermuda,Dollar (US),BMD,0.7821,1.2787
Bhutan,Ngultrum,BTN,0.0094,106.8238
Bolivia,Boliviano,BOB,0.1132,8.8317
Bosnia- Herzegovinia,Marka,BAM,0.4337,2.3056
Botswana,Pula,BWP,0.0578,17.2971
Brazil,Real,BRL,0.1478,6.7647
Brunei,Dollar,BND,0.5855,1.7080
Bulgaria,Lev,BGN,0.4337,2.3056
Burkina Faso,CFA Franc,XOF,0.0013,773.2773
Burundi,Franc,BIF,0.0003,3678.4231
Cambodia,Riel,KHR,0.0002,5209.0771
Cameroon Republic,CFA Franc,XAF,0.0013,773.2773
Canada,Dollar,CAD,0.5727,1.7461
Cape Verde Islands,Escudo,CVE,0.0077,129.9922
Cayman Islands,Dollar,KYD,0.9516,1.0508
Central African Republic,CFA Franc,XAF,0.0013,773.2773
Chad,CFA Franc,XAF,0.0013,773.2773
Chile,Peso,CLP,0.0008,1196.6261
China,Yuan,CNY,0.1088,9.1920
Colombia,Peso,COP,0.0002,5160.3056
Comoros,Franc,KMF,0.0017,579.9580
Congo (Brazaville),CFA Franc,XAF,0.0013,773.2773
Congo (DemRep),Congo Fr,CDF,0.0003,3582.0774
Costa Rica,Colon,CRC,0.0015,658.2897
Cote d'Ivoire,CFA Franc,XOF,0.0013,773.2773
Cuba,Peso,CUP,0.0326,30.6623
Czech Republic,Koruna,CZK,0.0338,29.5571
Denmark,Krone,DKK,0.1137,8.7932
Djibouti,Franc,DJF,0.0044,227.4699
Dominica,E Caribbean Dollar,XCD,0.2895,3.4548
Dominican Republic,Peso,DOP,0.0132,75.6375
Dubai,Dirham,AED,0.2130,4.6959
Egypt,Pound,EGP,0.0178,56.1945
El Salvador,Colon,SVC,0.0894,11.1882
Equatorial Guinea,CFA Franc,XAF,0.0013,773.2773
Eritrea,Nakfa,ERN,0.0521,19.1799
Ethiopia,Birr,ETB,0.0101,98.7520
Eurozone,Euro,EUR,0.8483,1.1789
Fiji Islands,Dollar,FJD,0.3487,2.8681
Fr. Polynesia,CFP Franc,XPF,0.0071,140.6747
Gabon,CFA Franc,XAF,0.0013,773.2773
Gambia,Dalasi,GMD,0.0114,87.7300
Georgia,Lari,GEL,0.2888,3.4623
Ghana,Cedi,GHS,0.0547,18.2736
Grenada,E Caribbean Dollar,XCD,0.2895,3.4548
Guatemala,Quetzal,GTQ,0.1007,9.9291
Guinea Bissau,CFA Franc,XOF,0.0013,773.2773
Guinea Republic,Franc,GNF,0.0001,11001.7708
Guyana,Dollar,GYD,0.0037,266.9820
Haiti,Gourde,HTG,0.0059,168.9833
Honduras,Lempira,HNL,0.0316,31.6836
Hong Kong,Dollar,HKD,0.1002,9.9805
Hungary,Forint,HUF,0.0022,463.4307
Iceland,Krona,ISK,0.0057,176.3776
India,Rupee,INR,0.0094,106.8238
Indonesia,Rupiah,IDR,0.0000,20213.6668
Iraq,Dinar,IQD,0.0006,1672.9724
Israel,Shekel,ILS,0.2104,4.7529
Jamaica,Dollar,JMD,0.0050,199.8637
Japan,Yen,JPY,0.0052,193.3900
Jordan,Dinar,JOD,1.1031,0.9066
Kazakhstan,Tenge,KZT,0.0017,594.1598
Kenya,Schilling,KES,0.0057,173.9567
Kuwait,Dinar,KWD,2.5483,0.3924
Kyrgyz Republic,Som,KGS,0.0090,111.6732
Lao People's Dem Rep,Kip,LAK,0.0000,27504.1013
Lebanon,Pound,LBP,0.0000,91630.3511
Lesotho,Loti,LSL,0.0427,23.4147
Liberia,Dollar,LRD,0.0041,246.0647
Libya,Dinar,LYD,0.1622,6.1636
Macao,Pataca,MOP,0.0973,10.2799
Macedonia,Denar,MKD,0.0138,72.5610
Madagascar,Malagasy Ariary,MGA,0.0002,5792.7643
Malawi,Kwacha,MWK,0.0005,2195.5237
Malaysia,Ringgit,MYR,0.1701,5.8797
Maldive Islands,Rufiyaa,MVR,0.0508,19.6997
Mali Republic,CFA Franc,XOF,0.0013,773.2773
Mauritania,Ouguiya,MRU,0.0197,50.6625
Mauritius,Rupee,MUR,0.0170,58.6746
Mexico,Mexican Peso,MXN,0.0433,23.0866
Moldova,Leu,MDL,0.0441,22.6672
Mongolia,Tugrik,MNT,0.0002,4354.9227
Montserrat,E Caribbean Dollar,XCD,0.2895,3.4548
Morocco,Dirham,MAD,0.0787,12.7132
Mozambique,Metical,MZN,0.0122,81.6362
Myanmar,Kyat,MMK,0.0004,2683.9723
Nepal,Rupee,NPR,0.0058,170.9981
New Caledonia,CFP Franc,XPF,0.0071,140.6747
New Zealand,Dollar,NZD,0.4764,2.0992
Nicaragua,Gold Cordoba,NIO,0.0213,47.0159
Nigeria,Naira,NGN,0.0005,1819.3593
Niger Republic,CFA Franc,XOF,0.0013,773.2773
Norway,Norwegian Krone,NOK,0.0733,13.6488
Oman,Rial,OMR,2.0315,0.4922
Pakistan,Rupee,PKR,0.0028,356.6222
Panama,Balboa,PAB,0.7821,1.2787
Papua New Guinea,Kina,PGK,0.2034,4.9156
Paraguay,Guarani,PYG,0.0001,9614.9344
Peru,New Sol,PEN,0.2084,4.7992
Philippines,Peso,PHP,0.0137,73.0328
Poland,Zloty,PLN,0.1963,5.0937
Qatar,Riyal,QAR,0.2149,4.6543
Romania,New Leu,RON,0.1705,5.8643
Russia,Rouble,RUB,0.0085,117.2388
Rwanda,Franc,RWF,0.0006,1671.7734
Saudi Arabia,Riyal,SAR,0.2086,4.7950
Senegal,CFA Franc,XOF,0.0013,773.2773
Serbia,Dinar,RSD,0.0072,138.0596
Seychelles,Rupee,SCR,0.0572,17.4944
Sierra Leone,Leone,SLE,0.0346,28.9318
Singapore,Dollar,SGD,0.5855,1.7080
Soloman Islands,Dollar,SBD,0.0938,10.6576
Somali Republic,Schilling,SOS,0.0014,729.3502
South Africa,Rand,ZAR,0.0427,23.4147
South Korea,Won,KRW,0.0006,1734.5134
Sri Lanka,Rupee,LKR,0.0026,390.1777
St Christopher & Anguilla,E Caribbean Dollar,XCD,0.2895,3.4548
St Lucia,E Caribbean Dollar,XCD,0.2895,3.4548
St Vincent,E Caribbean Dollar,XCD,0.2895,3.4548
Sudan Republic,Pound,SDG,0.0013,765.6020
Surinam,Dollar,SRD,0.0234,42.6633
Swaziland,Lilangeni,SZL,0.0427,23.4147
Sweden,Krona,SEK,0.0744,13.4428
Switzerland,Franc,CHF,0.8900,1.1236
Taiwan,Dollar,TWD,0.0244,40.9782
Tanzania,Schilling,TZS,0.0003,3350.6979
Thailand,Baht,THB,0.0221,45.2030
Togo Republic,CFA Franc,XOF,0.0013,773.2773
Tonga Islands,Pa'anga (AUS),TOP,0.3307,3.0242
Trinidad/Tobago,Dollar,TTD,0.1153,8.6740
Tunisia,Dinar,TND,0.2517,3.9726
Turkey,Turkish  Lira,TRY,0.0241,41.5543
Turkmenistan,New Manat,TMT,0.2236,4.4723
UAE,Dirham,AED,0.2130,4.6959
Uganda,Schilling,UGX,0.0002,4814.6920
Ukraine,Hryvnia,UAH,0.0195,51.1750
Uruguay,Peso,UYU,0.0196,51.0054
USA,Dollar,USD,0.7821,1.2787
Uzbekistan,Sum,UZS,0.0001,16122.3062
Vanuatu,Vatu,VUV,0.0065,153.1624
Venezuela,Bolivar Fuerte,VEF,0.0000,4776040.4419
Vietnam,Dong,VND,0.0000,32021.8578
Wallis & Futuna Islands,CFP Franc,XPF,0.0071,140.6747
Western Samoa,Tala,WST,0.2851,3.5074
Yemen (Rep of),Rial,YER,0.0031,320.0566
Zambia,Kwacha,ZMW,0.0303,33.0141
