Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.2035,4.9131
Albania,Lek,ALL,0.0089,112.7670
Algeria,Dinar,DZD,0.0057,174.7881
Angola,Readj Kwanza,AOA,0.0008,1227.2446
Antigua,E Caribbean Dollar,XCD,0.2762,3.6212
Argentina,Peso,ARS,0.0006,1757.7208
Armenia,Dram,AMD,0.0020,512.2752
Aruba,Florin,AWG,0.4176,2.3947
Australia,Dollar,AUD,0.4904,2.0392
Azerbaijan,New Manat,AZN,0.4397,2.2743
Bahamas,Dollar,BSD,0.7475,1.3378
Bahrain,Dinar,BHD,1.9880,0.5030
Bangladesh,Taka,BDT,0.0061,163.1188
Barbados,Dollar,BBD,0.3737,2.6756
Belarus,Rouble,BYN,0.2324,4.3034
Belize,Dollar,BZD,0.3715,2.6918
Benin,CFA Franc,XOF,0.0013,759.2308
Bermuda,Dollar (US),BMD,0.7475,1.3378
Bhutan,Ngultrum,BTN,0.0085,117.5487
Bolivia,Boliviano,BOB,0.1081,9.2477
Bosnia- Herzegovinia,Marka,BAM,0.4417,2.2638
Botswana,Pula,BWP,0.0554,18.0479
Brazil,Real,BRL,0.1361,7.3486
Brunei,Dollar,BND,0.5787,1.7281
Burkina Faso,CFA Franc,XOF,0.0013,759.2308
Burundi,Franc,BIF,0.0003,3970.8184
Cambodia,Riel,KHR,0.0002,5366.7402
Cameroon Republic,CFA Franc,XAF,0.0013,759.2308
Canada,Dollar,CAD,0.5395,1.8537
Cape Verde Islands,Escudo,CVE,0.0078,127.6309
Cayman Islands,Dollar,KYD,0.9004,1.1107
Central African Republic,CFA Franc,XAF,0.0013,759.2308
Chad,CFA Franc,XAF,0.0013,759.2308
Chile,Peso,CLP,0.0008,1246.6907
China,Yuan,CNY,0.1049,9.5339
Colombia,Peso,COP,0.0002,5292.4479
Comoros,Franc,KMF,0.0018,569.4231
Congo (Brazaville),CFA Franc,XAF,0.0013,759.2308
Congo (DemRep),Congo Fr,CDF,0.0003,3511.1747
Costa Rica,Colon,CRC,0.0015,668.6110
Cote d'Ivoire,CFA Franc,XOF,0.0013,759.2308
Cuba,Peso,CUP,0.0312,32.0830
Czech Republic,Koruna,CZK,0.0352,28.4169
Denmark,Krone,DKK,0.1157,8.6413
Djibouti,Franc,DJF,0.0042,238.1921
Dominica,E Caribbean Dollar,XCD,0.2762,3.6212
Dominican Republic,Peso,DOP,0.0121,82.8312
Dubai,Dirham,AED,0.2035,4.9131
Egypt,Pound,EGP,0.0153,65.1993
El Salvador,Colon,SVC,0.0854,11.7059
Equatorial Guinea,CFA Franc,XAF,0.0013,759.2308
Eritrea,Nakfa,ERN,0.0498,20.0673
Eswatini,Lilangeni,SZL,0.0429,23.3342
Ethiopia,Birr,ETB,0.0052,192.1823
Eurozone,Euro,EUR,0.8640,1.1574
Fiji Islands,Dollar,FJD,0.3303,3.0275
Fr. Polynesia,CFP Franc,XPF,0.0072,138.1193
Gabon,CFA Franc,XAF,0.0013,759.2308
Gambia,Dalasi,GMD,0.0103,97.4699
