Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.2173,4.6012
Albania,Lek,ALL,0.0081,122.9802
Algeria,Dinar,DZD,0.0059,169.8818
Angola,Readj Kwanza,AOA,0.0011,944.5533
Antigua,E Caribbean Dollar,XCD,0.2955,3.3846
Argentina,Peso,ARS,0.0019,528.1742
Armenia,Dram,AMD,0.0020,492.2780
Aruba,Florin,AWG,0.4459,2.2426
Australia,Dollar,AUD,0.5266,1.8990
Azerbaijan,New Manat,AZN,0.4692,2.1315
Bahamas,Dollar,BSD,0.7982,1.2529
Bahrain,Dinar,BHD,2.1203,0.4716
Bangladesh,Taka,BDT,0.0073,136.5890
Barbados,Dollar,BBD,0.3991,2.5057
Belarus,Rouble,BYN,0.2819,3.5477
Belize,Dollar,BZD,0.3974,2.5162
Benin,CFA Franc,XOF,0.0013,757.1598
Bermuda,Dollar (US),BMD,0.7982,1.2529
Bhutan,Ngultrum,BTN,0.0096,103.7034
Bolivia,Boliviano,BOB,0.1156,8.6536
Bosnia- Herzegovinia,Marka,BAM,0.4430,2.2576
Botswana,Pula,BWP,0.0593,16.8560
Brazil,Real,BRL,0.1616,6.1877
Brunei,Dollar,BND,0.5937,1.6844
Bulgaria,Lev,BGN,0.4430,2.2575
Burkina Faso,CFA Franc,XOF,0.0013,757.1598
Burundi,Franc,BIF,0.0003,3401.9690
Cambodia,Riel,KHR,0.0002,5141.6954
Cameroon Republic,CFA Franc,XAF,0.0013,757.1598
Canada,Dollar,CAD,0.5919,1.6896
Cape Verde Islands,Escudo,CVE,0.0079,127.3846
Cayman Islands,Dollar,KYD,0.9718,1.0291
Central African Republic,CFA Franc,XAF,0.0013,757.1598
Chad,CFA Franc,XAF,0.0013,757.1598
Chile,Peso,CLP,0.0009,1080.7344
China,Yuan,CNY,0.1117,8.9547
Colombia,Peso,COP,0.0002,5218.4105
Comoros,Franc,KMF,0.0018,567.8698
Congo (Brazaville),CFA Franc,XAF,0.0013,757.1598
Congo (DemRep),Congo Fr,CDF,0.0003,3088.1257
Costa Rica,Colon,CRC,0.0015,667.3340
Cote d'Ivoire,CFA Franc,XOF,0.0013,757.1598
Cuba,Peso,CUP,0.0333,30.0683
Czech Republic,Koruna,CZK,0.0357,27.9776
Denmark,Krone,DKK,0.1162,8.6031
