Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Eurozone,Euro,EUR,0.7309,1.368138
Abu Dhabi,Dirham,AED,0.1803,5.545785
Albania,Lek,ALL,0.0052,190.5769
Algeria,Dinar,DZD,0.0064,156.345498
Angola,Readj Kwanza,AOA,0.0051,194.43726
Antigua,E Caribbean Dollar,XCD,0.2453,4.076723
Argentina,Peso,ARS,0.0632,15.815366
Armenia,Dram,AMD,0.0014,725.102419
Aruba,Florin,AWG,0.37,2.70257
Australia,Dollar,AUD,0.4882,2.048381
Azerbaijan,New Manat,AZN,0.563,1.776242
Bahamas,Dollar,BSD,0.663,1.508298
Bahrain,Dinar,BHD,1.7561,0.569447
Bangladesh,Taka,BDT,0.0085,117.868189
Barbados,Dollar,BBD,0.3311,3.019789
Belarus,Rouble,BYR,0,25925.56886
Belize,Dollar,BZD,0.3313,3.018125
Benin,Franc,CFA,0.0011,897.121292
Bermuda,Dollar (US),BMD,0.663,1.508298
Bhutan,Ngultrum,BTN,0.0102,98.517936
Bolivia,Boliviano,BOB,0.096,10.412043
Bosnia- Herzegovinia,Marka,BAM,0.3738,2.674975
Botswana,Pula,BWP,0.0632,15.818653
Brazil,Real,BRL,0.1853,5.396725
Brunei,Dollar,BND,0.4781,2.091509
Bulgaria,Lev,BGN,0.3738,2.675091
Burkina Faso,Franc,CFA,0.0011,897.121292
Burundi,Franc,BIF,0.0004,2366.003657
Cambodia,Riel,KHR,0.0002,6125.978626
Cameroon Republic,Franc,CFA,0.0011,897.121292
Canada,Dollar,CAD,0.5062,1.975398
Cape Verde Islands,Escudo,CVE,0.0066,151.102058
Cayman Islands,Dollar,KYD,0.8077,1.238113
Central African Republic,Franc,CFA,0.0011,897.121292
Chad,Franc,CFA,0.0011,897.121292
Chile,Peso,CLP,0.001,1011.773945
China,Yuan,CNY,0.1044,9.582777
Colombia,Peso,COP,0.0002,4393.427606
Comoros,Franc,KMF,0.0015,672.839977
Congo (Brazaville),Franc,CFA,0.0011,897.121292
Congo (DemRep),Congo Fr,CDF,0.0007,1388.737494
Costa Rica,Colon,CRC,0.0012,805.544166
Cote d'Ivoire,Franc,CFA,0.0011,897.121292
Croatia,Kuna,HRK,0.0963,10.388589
Cuba,Peso,CUP,0.6624,1.509685
Czech Republic,Koruna,CZK,0.0269,37.128996
Denmark,Krone,DKK,0.098,10.204585
Djibouti,Franc,DJF,0.0037,268.334328
Dominica,E Caribbean Dollar,XCD,0.2453,4.076723
Dominican Republic,Peso,DOP,0.0147,68.159266
Dubai,Dirham,AED,0.1803,5.545785
Ecuador,Dollar,ECS,0.663,1.508298
Egypt,Pound,EGP,0.085,11.760721
El Salvador,Colon,SVC,0.0762,13.119923
Equatorial Guinea,Franc,CFA,0.0011,897.121292
Eritrea,Nakfa,ERN,0.0442,22.643617
Ethiopia,Birr,ETB,0.0317,31.528464
Fiji Islands,Dollar,FJD,0.3127,3.197892
Fr. Polynesia,Franc,CFP,0.0061,162.612789
Gabon,Franc,CFA,0.0011,897.121292
Gambia,Dalasi,GMD,0.0164,60.858828
Georgia,Lari,GEL,0.2818,3.548008
Ghana,Cedi,GHS,0.1702,5.877119
Grenada,E Caribbean Dollar,XCD,0.2453,4.076723
Guatemala,Quetzal,GTQ,0.0864,11.568525
Guinea Bissau,Franc,CFA,0.0011,897.121292
Guinea Republic,Franc,GNF,0.0001,11360.92819
Guyana,Dollar,GYD,0.0033,303.457213
Haiti,Gourde,HTG,0.0124,80.510608
Honduras,Lempira,HNL,0.03,33.305926
Hong Kong,Dollar,HKD,0.0855,11.694423
Hungary,Forint,HUF,0.0024,424.226477
Iceland,Krona,ISK,0.0051,197.546906
India,Rupee,INR,0.0102,98.517936
