Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.2128,4.6984
Albania,Lek,ALL,0.0071,140.6141667
Armenia,Dram,AMD,0.0016,612.795
Angola,Readj Kwanza,AOA,0.0020,504.7191667
Argentina,Peso,ARS,0.0152,65.96833333
Australia,Dollar,AUD,0.5403,1.850933333
Aruba,Florin,AWG,0.4367,2.2899
Azerbaijan,New Manat,AZN,0.4608,2.170275
Bosnia- Herzegovinia,Marka,BAM,0.4472,2.23615
Barbados,Dollar,BBD,0.3908,2.55855
Bangladesh,Taka,BDT,0.0092,108.225
Bulgaria,Lev,BGN,0.4457,2.243708333
Bahrain,Dinar,BHD,2.0735,0.482275
Burundi,Franc,BIF,0.0004,2372.325
Bermuda,Dollar (US),BMD,0.7817,1.279266667
Brunei,Dollar,BND,0.5727,1.746025
Bolivia,Boliviano,BOB,0.1131,8.839783333
Brazil,Real,BRL,0.1944,5.143041667
Bahamas,Dollar,BSD,0.7817,1.279266667
Bhutan,Ngultrum,BTN,0.0111,90.24666667
Botswana,Pula,BWP,0.0725,13.785
Belarus,Rouble,BYN,0.3744,2.670708333
Belize,Dollar,BZD,0.3909,2.558416667
Canada,Dollar,CAD,0.5903,1.693958333
Congo (DemRep),Congo Fr,CDF,0.0001,7956.9025
Switzerland,Franc,CHF,0.7898,1.26615
Chile,Peso,CLP,0.0011,923.7366667
China,Yuan,CNY,0.1127,8.87015
Colombia,Peso,COP,0.0002,4219.970833
Costa Rica,Colon,CRC,0.0013,740.8725
Cuba,Peso,CUP,0.7817,1.279266667
Cape Verde Islands,Escudo,CVE,0.0079,126.7458333
Czech Republic,Koruna,CZK,0.0341,29.315
Djibouti,Franc,DJF,0.0044,227.3475
Denmark,Krone,DKK,0.1167,8.5666
Dominican Republic,Peso,DOP,0.0151,66.345
Algeria,Dinar,DZD,0.0065,152.9641667
Ecuador,Dollar,ECS,0.7817,1.279266667
Egypt,Pound,EGP,0.0473,21.15166667
Eritrea,Nakfa,ERN,0.0521,19.18416667
Ethiopia,Birr,ETB,0.0263,38.07
Eurozone,Euro,EUR,0.8717,1.147166667
Fiji Islands,Dollar,FJD,0.3616,2.765566667
Georgia,Lari,GEL,0.2748,3.6389
Ghana,Cedi,GHS,0.1447,6.912391667
Gambia,Dalasi,GMD,0.0155,64.65
Guinea Republic,Franc,GNF,0.0001,11896.815
Guatemala,Quetzal,GTQ,0.1017,9.837058333
