Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.1704,5.869067
Afghanistan,Afghani,AFN,0.0143,69.855065
Albania,Lek,ALL,0.0062,162.359977
Armenia,Dram,AMD,0.0017,602.531816
Angola,Readj Kwanza,AOA,0.0066,150.405122
Argentina,Peso,ARS,0.1491,6.707446
Australia,Dollar,AUD,0.6547,1.527388
Aruba,Florin,AWG,0.3496,2.860271
Azerbaijan,New Manat,AZN,0.795,1.25791
Bosnia- Herzegovinia,Marka,BAM,0.4419,2.262785
Barbados,Dollar,BBD,0.3129,3.1958
Bangladesh,Taka,BDT,0.0082,122.097979
Bulgaria,Lev,BGN,0.4419,2.262806
Bahrain,Dinar,BHD,1.6049,0.623104
Burundi,Franc,BIF,0.0005,2065.460816
Bermuda,Dollar (US),BMD,0.6266,1.595813
Brunei,Dollar,BND,0.5001,1.999428
Bolivia,Boliviano,BOB,0.0904,11.0613551
Brazil,Real,BRL,0.3696,2.7055
Bahamas,Dollar,BSD,0.6266,1.595813
Bhutan,Ngultrum,BTN,0.0131,76.20448
Botswana,Pula,BWP,0.09,11.116155
Belarus,Rouble,BYR,0.0001,10098.71347
Belize,Dollar,BZD,0.3171,3.153559
Canada,Dollar,CAD,0.632,1.582388
Congo (DemRep),Congo Fr,CDF,0.0007,1452.243163
Switzerland,Franc,CHF,0.7106,1.407255
Chile,Peso,CLP,0.0013,771.868046
China,Yuan (Renminbi),CNY,0.0977,10.233969
Colombia,Peso,COP,0.0003,2918.78
Costa Rica,Colon,CRC,0.0012,810.611653
Cuba,Peso,CUP,0.6258,1.597918
Cape Verde Islands,Escudo,CVE,0.008,125.241448
Czech Republic,Koruna,CZK,0.035,28.608051
Djibouti,Franc,DJF,0.0036,279.288836
Denmark,Krone,DKK,0.116,8.623805
Dominican Republic,Peso,DOP,0.0164,61.14021
Algeria,Dinar,DZD,0.0085,117.306367
Ecuador,Dollar,ECS,0.6266,1.595813
Egypt,Pound,EGP,0.1046,9.556418
Eritrea,Nakfa,ERN,0.0417,23.968518
Ethiopia,Birr,ETB,0.0365,27.37351
European Community,Euro,EUR,0.8634,1.158234
Fiji Islands,Dollar,FJD,0.3523,2.838495
Georgia,Lari,GEL,0.0212,47.147438
Ghana,Cedi,GHS,0.3946,2.53423
Gambia,Dalasi,GMD,0.0217,46.145063
Guinea Republic,Franc,GNF,0.0001,11045.72041
Guatemala,Quetzal,GTQ,0.0805,12.427604
Guyana,Dollar,GYD,0.0031,323.391816
Hong Kong,Dollar,HKD,0.0806,12.412126
Honduras,Lempira,HNL,0.0331,30.241383
Croatia,Kuna,HRK,0.1157,8.641553
Haiti,Gourde,HTG,0.0155,64.538159
Hungary,Forint,HUF,0.003,328.864489
